Country,Name,Club,Position,Games,Goals
Saint Kitts and Nevis,Melissa Jackson,Village Superstars,forward,73,48
Guatemala,Christopher Powell,Xelaju,forward,69,125
Guinea,Antonio Johnson,Wakriya,forward,46,99
Estonia,Alejandro Calderon,Paide Linnameeskond,defender,50,61
Algeria,Matthew Ruiz,CR Belouizdad,midfielder,44,1
Guinea,David Wright,Hafia,defender,64,21
Haiti,Charles Bell,Don Bosco,forward,46,58
Central African Republic,Laura Hernandez,Olympic Real,goalkeeper,44,-9
Italy,Bailey Smith,Roma,defender,47,30
Mexico,Teresa Hancock,Leon,goalkeeper,69,-62
Egypt,James Wallace,Al Ahly,midfielder,68,42
Panama,Jacob Norman,Arabe Unido,midfielder,26,1
Tanzania,Kathleen Browning,Simba,defender,46,36
Haiti,Nicole Bullock,Cavaly,forward,58,110
Guyana,Jerry Cooper,Victoria Kings,defender,53,21
Estonia,Lauren Horton,Levadia Tallinn,goalkeeper,64,-48
Czech Republic,Larry Wade,Banik Ostrava,midfielder,54,16
Spain,Jim Ortiz,Real Sociedad,midfielder,58,22
Spain,Holly Lawson,Real Madrid,goalkeeper,57,-48
Tajikistan,Robert Wilson,Khatlon,forward,47,48
Niger,Madison Ramos,Sahel SC,forward,67,75
China,Karen Fuentes,Beijing Guoan,goalkeeper,51,-14
Uruguay,Sharon Walker,Montevideo Wanderers,defender,54,62
Denmark,Mrs. Belinda English,Viborg,midfielder,57,31
Zambia,Harry Padilla,Zesco United,defender,43,28
Botswana,Danielle Ferguson,Mochudi Centre Chiefs,midfielder,48,45
Qatar,Leslie Thomas,Al Rayyan,defender,52,37
Namibia,Holly Burton,Black Africa,goalkeeper,53,-75
Fiji,Daniel Gonzalez,Labasa FC,midfielder,70,63
Timor-Leste,Amber Waters,Sport Laulara,goalkeeper,57,-58
Dominica,Cheryl Yang,Kubuli Strikers,defender,80,31
Paraguay,Rebecca Sweeney,Olimpia,forward,76,32
Finland,Andrew Joseph,Honka,goalkeeper,48,-43
Sao Tome and Principe,Kimberly Moore,Sporting Praia Cruz,defender,56,92
Mauritius,William Kelly,Flacq United,goalkeeper,82,-51
San Marino,Paul Welch,Murata,goalkeeper,49,-82
Marshall Islands,Terry Cruz,Ebeye United,forward,79,37
Tunisia,Jason Cummings,CS Sfaxien,defender,65,26
Turkmenistan,Joshua Bauer,Energetik,midfielder,36,95
Chad,John Fuller,Foullah Edifice,goalkeeper,57,-15
Pakistan,Amy Sanders,Sui Southern Gas,goalkeeper,63,-55
Chad,Christopher Fitzpatrick,Tourbillon FC,goalkeeper,52,-26
South Sudan,Michael Perry,Malakia,goalkeeper,64,-48
Honduras,Carl Castillo,Platense,midfielder,69,48
Uruguay,Paul Austin,Liverpool Montevideo,forward,67,97
Qatar,Dean Tran,Qatar SC,midfielder,57,1
China,Richard Young,Shanghai Port,goalkeeper,44,-92
Denmark,Justin Berry,Brondby,defender,63,43
Togo,Timothy Bruce,Maranatha,defender,55,99
Pakistan,April Jensen,Pakistan Army,midfielder,68,83
Latvia,Linda Roach,Riga FC,goalkeeper,63,-60
Serbia,Scott Sullivan,Cukaricki,goalkeeper,49,-73
China,Alejandro Lane,Wuhan Three Towns,goalkeeper,68,-40
Kazakhstan,Barbara Morgan,Aktobe,forward,47,18
Denmark,Brittany Powers,Midtjylland,defender,62,67
Eswatini,Pamela Perez DDS,Manzini Wanderers,defender,47,31
Ghana,Alejandra White,Aduana Stars,goalkeeper,59,-13
Dominica,Anthony Sheppard,Bath Estate,defender,75,65
Guinea-Bissau,Trevor Rivera,Os Balantas,midfielder,54,43
Russia,Susan Logan,CSKA Moscow,forward,59,11
Belarus,John Delgado,Isloch,forward,59,45
Japan,Rachel Smith,Yokohama F. Marinos,forward,63,38
Uzbekistan,Carol Rogers,Nasaf,goalkeeper,69,-71
Dominica,Joseph Jimenez,Segments FC,forward,57,27
Grenada,Samuel Matthews,St. John's Sports,defender,63,48
Botswana,Christopher Fox,Gaborone United,forward,56,61
Morocco,Sergio Tucker,Moghreb Tetouan,defender,72,43
Kuwait,Jason Dawson,Al Qadsia,goalkeeper,55,-87
Gambia,Richard Brown,Fortune FC,midfielder,46,35
France,Stephanie Lewis,Marseille,midfielder,51,17
Iran,Brittany Swanson,Sepahan,forward,79,59
Comoros,Christopher Johnson,Coin Nord,goalkeeper,82,-19
Maldives,Rachel Burke,Maziya,forward,36,42
Monaco,Rachel Gray,Monaco II,goalkeeper,55,-58
Micronesia,Adam Moreno,Kosrae,defender,59,76
Benin,Daniel Boyd,JSP FC,goalkeeper,49,-32
Timor-Leste,Jeremy Walker,Karketu Dili,midfielder,70,26
Canada,Anna Brooks,CF Montreal,defender,51,60
Uruguay,David Mcgee,Fenix,forward,63,34
Iraq,Tracey Hughes,Al Talaba,midfielder,49,69
Samoa,Nicole Cole,Vaipuna,midfielder,59,45
Turkmenistan,Linda Jones,Altyn Asyr,forward,48,42
Sierra Leone,Mary Allen,Bo Rangers,forward,61,71
Bosnia and Herzegovina,Linda Moore,Sarajevo,defender,62,49
Dominican Republic,David Flores,Barcelona Atletico,forward,76,17
Bolivia,Richard Brown,Nacional Potosi,forward,70,52
Morocco,Jonathan Matthews MD,FUS Rabat,forward,56,60
Mongolia,Scott Cruz,Khangui,forward,52,37
Greece,Nicole Jones,AEK Athens,forward,78,41
Uganda,Christina Murphy DVM,Express,defender,69,69
Latvia,Nicole Boyd,Ventspils,forward,52,73
Togo,Kellie Jefferson,AS Togo-Port,forward,34,38
Denmark,Jane Brown,Randers,defender,50,59
New Zealand,James Duran,Eastern Suburbs,goalkeeper,64,-18
Burkina Faso,Mario Johnson,Etoile Filante,goalkeeper,47,-76
Kazakhstan,Chad Parks,Kyzylzhar,midfielder,69,59
South Sudan,Patricia Perez,Al Hilal Wau,defender,50,56
Ukraine,Samantha Small,Rukh Lviv,defender,49,41
Zimbabwe,Amy Brown,Chicken Inn,midfielder,53,57
Monaco,Brian Booker,Roca Team,forward,75,29
Gabon,Nancy Briggs,AS Mangasport,goalkeeper,42,-49
Croatia,Michael Alexander,Gorica,forward,62,20
Bhutan,Gabrielle Gibson,Transport United,forward,85,96
Slovenia,Tonya Randolph,Olimpija Ljubljana,forward,49,47
Austria,Sherry Wise,WSG Tirol,goalkeeper,55,-21
Bosnia and Herzegovina,Michael Bailey,Zrinjski Mostar,goalkeeper,53,-28
Iraq,Jose Johnson,Al Zawraa,midfielder,59,91
Sri Lanka,Charles Vazquez,Ratnam,goalkeeper,71,-65
Senegal,Angela Garcia,Jaraaf,defender,51,39
Turkmenistan,David Cantu MD,Shagadam,midfielder,49,70
Madagascar,Melissa Montgomery,Ajesaia,defender,71,40
Sierra Leone,Sarah Torres,FC Johansen,forward,75,74
Lithuania,Heidi Merritt,Dziugas,defender,78,62
Belize,Kevin Thompson,Belmopan Bandits,forward,87,35
Micronesia,Marcus Wilkerson,Weno,forward,49,106
Bolivia,Shannon Rivera,Bolivar,midfielder,64,75
Paraguay,Kimberly Fisher,Sol de America,goalkeeper,55,-43
Georgia,Sharon Dunn,Telavi,forward,54,60
Denmark,Stephen Barnes,FC Copenhagen,goalkeeper,61,-74
Portugal,April Ayala,Sporting CP,defender,62,43
Nigeria,Allison Bryan,Kano Pillars,goalkeeper,40,-51
China,Melissa Myers,Wuhan Three Towns,forward,76,92
Micronesia,Lisa Manning,Nukuoro,defender,60,70
Laos,Eric Webb,Savannakhet,defender,67,1
Netherlands,Jessica Harris,AZ Alkmaar,midfielder,71,90
South Africa,Crystal Miller,Orlando Pirates,forward,41,46
Yemen,Christina Morton,Al Oruba,midfielder,44,85
Albania,Brenda Smith,KF Tirana,forward,59,20
Colombia,Jeffrey Gonzalez,Santa Fe,defender,58,109
Tunisia,Cynthia Daniel,CS Sfaxien,forward,81,51
Singapore,Angela Wiggins,Hougang United,forward,52,37
Fiji,Crystal Ward,Navua FC,defender,51,35
Iran,Madison Patel DVM,Tractor,midfielder,68,44
Kuwait,Kirsten Collins,Al Salmiya,forward,47,59
Mali,Nathan Moody,US Bougouni,goalkeeper,64,-74
Bosnia and Herzegovina,Joseph Hawkins,Velez Mostar,goalkeeper,71,-36
Solomon Islands,Sean Webb,Laugu United,defender,62,54
Oman,Joshua Young,Al Nahda,defender,67,58
Timor-Leste,Debra Romero,Académica,midfielder,52,61
Guinea-Bissau,Mr. Brett Walsh,Os Balantas,goalkeeper,75,-23
Eritrea,Jordan Ford,Asmara Brewery,goalkeeper,61,-49
Andorra,James Sanders,FC Ordino,defender,58,34
Montenegro,Jennifer Combs,Mornar,forward,60,68
Burkina Faso,Samantha Bond,Rahimo FC,forward,82,33
Netherlands,Jessica Rosales,Twente,goalkeeper,65,-52
Bangladesh,Brian Smith,Sheikh Russel,midfielder,41,38
Maldives,Dana Nelson,Green Streets,defender,57,60
Guinea-Bissau,Katie Myers,Bula FC,defender,62,23
Namibia,Brianna Cole,Blue Waters,forward,70,61
Bolivia,Kevin Dyer,Jorge Wilstermann,goalkeeper,75,-5
Norway,Brian Smith,Lillestrom,midfielder,64,60
North Macedonia,Anthony Mcdonald,Makedonija GP,midfielder,58,9
Tanzania,Dana Ward,Young Africans,goalkeeper,57,-56
Burundi,Cody Johnson,Flambeau du Centre,defender,71,52
Brunei,Morgan Lee,Tabuan Muda,midfielder,61,89
Sweden,Lynn Riggs,IFK Goteborg,forward,71,59
Guinea-Bissau,Curtis Barron,Bula FC,midfielder,56,23
Brunei,Amanda Fernandez,Kasuka FC,defender,49,29
Central African Republic,Julia Richardson,Anges de Fatima,forward,71,65
Barbados,Morgan Morris,Bridgetown FC,defender,63,69
Czech Republic,William Holloway,Sparta Prague,midfielder,61,40
Samoa,Julie Lynch,Kiwi FC,defender,48,80
Ukraine,Terry Atkins,Kolos Kovalivka,midfielder,73,80
Saint Kitts and Nevis,Philip Daniels,Conaree FC,defender,61,91
Senegal,Brandon Thompson,Casa Sport,goalkeeper,63,-61
Japan,Joseph Rios,Urawa Reds,goalkeeper,84,-8
Lebanon,Eric Brandt,Safa,forward,63,73
Netherlands,Mrs. Joan Watkins,Twente,defender,78,8
Maldives,Susan Short,New Radiant,defender,60,51
Djibouti,John Jacobs,AS Arta/Solar7,goalkeeper,70,-16
Ghana,Sheila Smith,Bechem United,defender,31,27
Montenegro,Christopher Shepard,Rudar,forward,53,49
Philippines,Brooke Wilson,Mendiola,goalkeeper,45,-50
Venezuela,Robert Nelson,Metropolitanos,forward,58,20
Liberia,Jason Chandler,Invincible Eleven,forward,58,10
Saint Lucia,Janet Mendoza,Canaries,defender,80,46
Bahamas,Kevin Woods,Western Warriors,midfielder,66,24
Bosnia and Herzegovina,Shawna Sanchez,Zeljeznicar,midfielder,56,22
Samoa,Carl Smith,Togafuafua,defender,73,30
Indonesia,Ryan Pham,Madura United,defender,63,57
Fiji,Marie Marshall,Rewa FC,forward,70,47
Guinea,Jennifer Garrett,Hafia,midfielder,61,32
Central African Republic,John May,Sica Sport,goalkeeper,75,-85
Costa Rica,Michelle Rich,Santos de Guapiles,defender,51,46
Israel,Kimberly Hickman,Beitar Jerusalem,defender,65,51
Mali,Amy Hernandez,Real Bamako,goalkeeper,49,-48
Peru,Dorothy Perez,Melgar,midfielder,66,60
New Zealand,Suzanne Boyle,Auckland City,forward,77,72
Malta,Sara Frank,Birkirkara,midfielder,55,44
Laos,Sandra Johnson,Savannakhet,goalkeeper,59,-46
Timor-Leste,John Wright,Sport Laulara,defender,78,67
Japan,Amy Huang,Urawa Reds,defender,66,15
Djibouti,Juan Rogers,AS Port,defender,47,98
Nigeria,Jennifer Williams,Plateau United,forward,75,1
Saint Kitts and Nevis,Vanessa Mcintyre,St. Paul's United,goalkeeper,63,-51
Turkmenistan,Christopher Gomez,Merv,defender,61,53
Kiribati,Alexandra James,Bairiki,forward,62,61
France,Kari Ortega,Marseille,forward,56,1
Nauru,Debbie Love,Anetan,defender,41,43
Moldova,Andrea Washington,Sheriff Tiraspol,forward,59,73
San Marino,Samantha Harris MD,Murata,forward,55,41
Yemen,Amy Schroeder,Al Tilal,defender,60,43
Kuwait,Samuel Shannon,Al Arabi,goalkeeper,64,-36
Nauru,Tracy Hunt,Uaboe,midfielder,53,2
Equatorial Guinea,Brett Perez,Canon Sportif,defender,50,30
Guyana,Deborah Rivera,Western Tigers,defender,47,47
France,Austin Suarez,Nice,forward,74,83
Rwanda,Brian Collier MD,AS Kigali,defender,58,1
Gambia,Jeffery Mercado,Brikama United,goalkeeper,54,-65
Bahrain,Randall Lara,East Riffa,defender,67,32
Jordan,Dr. Scott Pierce,Al Ramtha,midfielder,66,54
Kuwait,Michelle Burnett,Al Salmiya,forward,62,59
Cameroon,Christopher Smith,Union Douala,midfielder,65,5
El Salvador,Ryan Lee,Jocoro,midfielder,57,68
New Zealand,Sean Hart,Eastern Suburbs,midfielder,55,64
Belize,Dennis Reeves,Verdes FC,forward,64,57
Cape Verde,Rachel Hansen,Academica do Sal,defender,52,61
Algeria,Vanessa Taylor,CR Belouizdad,forward,76,14
Georgia,John Cabrera DDS,Telavi,midfielder,45,70
Ecuador,Robert Schneider,Delfin,defender,57,75
Timor-Leste,John Stewart,Boavista Timor,defender,75,90
Saint Vincent and the Grenadines,Daniel Davis,Camdonia Chelsea,forward,56,83
Slovenia,Billy Carter,Domzale,goalkeeper,64,-26
Maldives,Jennifer Williams,Club Eagles,defender,74,40
Turkey,Albert Johnson,Galatasaray,defender,57,77
Belize,Sandra Nunez,Belmopan Bandits,goalkeeper,55,-28
Chad,Sheri Ruiz,Renaissance,midfielder,50,39
Panama,Margaret Cruz,Independiente,forward,56,38
Algeria,Benjamin Mcfarland,MC Oran,forward,47,65
Bulgaria,Katrina Hayes,Cherno More,defender,44,60
Liechtenstein,Mark Brown,Ruggell,midfielder,75,83
Marshall Islands,Deborah Harris,Arno FC,defender,87,79
Singapore,Aaron Alvarez,Geylang International,defender,46,56
Eritrea,Amy Barnett,Al-Tahrir,forward,58,68
Bosnia and Herzegovina,James Walker,Zeljeznicar,forward,75,42
Bhutan,James Martin,Terton FC,midfielder,88,49
Eswatini,Christy Melendez,Manzini Wanderers,forward,60,21
Sao Tome and Principe,Robert Alvarez,Santana,goalkeeper,72,-34
Bangladesh,John Smith,Rahmatganj,midfielder,59,68
Estonia,Jacqueline Peters,Paide Linnameeskond,goalkeeper,58,-11
Nepal,Morgan Tanner,Friends Club,goalkeeper,54,-45
Maldives,Courtney Perez,New Radiant,midfielder,49,61
Georgia,Virginia Hamilton,Saburtalo,forward,54,13
Kuwait,Tanya Beck,Al Qadsia,goalkeeper,64,-47
Tanzania,Nathan Chapman,Azam,forward,66,33
Philippines,Mrs. Cynthia Larsen,ADT,goalkeeper,54,-77
Botswana,Tina White,Security Systems,goalkeeper,88,-33
Comoros,Eric Fernandez,Fomboni FC,forward,61,75
Cape Verde,David Wilson,Fogo 1876,defender,54,35
Namibia,Donna Rodriguez,Young African,forward,53,19
Indonesia,Felicia Holloway,PSM Makassar,midfielder,39,90
Latvia,Erin Brady,Daugavpils,forward,60,79
United Kingdom,John Howell,Chelsea,defender,67,57
Tunisia,Charlotte Figueroa,US Monastir,midfielder,57,43
Burundi,Brittany Christian,Olympic Star,goalkeeper,64,-56
Libya,Antonio Morgan,Al Akhdar,defender,48,71
Turkey,William Smith,Basaksehir,defender,55,66
Guinea,Vanessa Collins,Wakriya,forward,55,68
Namibia,Edwin Mcmillan,Young African,defender,75,36
El Salvador,Jose Miller,Alianza,goalkeeper,59,-67
Peru,Darlene Carter,Universitario,forward,57,86
Mali,Ellen Bush,Onze Createurs,defender,50,36
Turkey,Jacqueline Olson,Sivasspor,defender,69,71
Thailand,Jennifer Edwards,BG Pathum United,goalkeeper,71,-101
Vietnam,Diana Anderson DDS,Song Lam Nghe An,forward,61,62
Saudi Arabia,Tina Reyes,Al Taawoun,forward,60,70
Malaysia,Kiara Jenkins,Johor Darul Ta'zim,forward,75,49
Bangladesh,Elizabeth Zimmerman,Brothers Union,defender,73,55
Nauru,Gabrielle Wilson MD,Uaboe,midfielder,55,39
Malawi,Jordan Martin,Blue Eagles,midfielder,62,61
Greece,James Medina,AEK Athens,forward,41,63
Uganda,Andrew Hartman,Vipers,defender,43,88
Jordan,Jill Reed,Al Faisaly,defender,45,57
Honduras,Jacqueline Phillips,Motagua,forward,68,50
Luxembourg,Mr. Thomas Mercer,Progres Niederkorn,goalkeeper,88,-57
Lesotho,Wendy Lee,LMPS,defender,58,68
Djibouti,Julie Nelson,FC Dikhil,forward,54,21
India,Tommy Robles,ATK Mohun Bagan,goalkeeper,64,-79
South Africa,Vanessa Malone,Orlando Pirates,defender,65,88
Mongolia,Ashlee Miller,Ulaanbaatar,defender,46,33
Albania,Kristi Martin,Kukesi,forward,69,54
Romania,Mr. James Mcdaniel MD,Farul Constanta,goalkeeper,69,-20
Italy,John White,Napoli,goalkeeper,46,-45
Nicaragua,Christine Smith,UNAN Managua,forward,76,61
Portugal,James Ellis,Vitoria Guimaraes,forward,66,16
Eritrea,Christopher Wells,Denden FC,goalkeeper,80,-64
Malaysia,Deborah Friedman,Selangor,defender,61,32
Rwanda,Dan Price,Police,forward,33,59
Uzbekistan,Carol Hughes,Lokomotiv Tashkent,goalkeeper,62,-52
Zambia,Cory Singh,Kabwe Warriors,defender,67,33
Jordan,James Wilson,Al Jazeera,midfielder,51,45
Ireland,Jason Kaiser,Sligo Rovers,midfielder,60,5
Slovenia,Alexander Hill,Olimpija Ljubljana,forward,67,57
Armenia,Samuel Tate,Urartu,goalkeeper,41,-42
Paraguay,Megan Archer,Sportivo Luqueno,defender,59,37
Nauru,Jeanette Novak,Boe,midfielder,60,62
Sao Tome and Principe,Jonathan Keller Jr.,UDRA,goalkeeper,46,-10
Morocco,Deborah Lopez,Olympic Safi,forward,65,82
Russia,Curtis Wells,Dinamo Moscow,defender,69,67
Vanuatu,Ronald Johnson,Shepherds United,midfielder,65,21
North Macedonia,Jeffery Jones,Makedonija GP,midfielder,52,68
Portugal,Robert Norton,Vitoria Guimaraes,midfielder,75,3
Central African Republic,Marcus Stone,Faucon Flambeau,goalkeeper,61,-64
Papua New Guinea,Laura Boyer,Morobe Wawens,midfielder,62,48
Rwanda,Andrew Conner,Gasogi United,defender,45,90
Armenia,Kendra Simmons MD,Shirak,forward,51,67
Marshall Islands,Patricia Cline,Arno FC,forward,55,26
Estonia,Todd Thomas,Kuressaare,midfielder,50,46
Lithuania,Eric White,Panevezys,goalkeeper,50,-34
Nigeria,Katherine Juarez,Plateau United,forward,50,81
Mauritius,Nina Long,La Cure,forward,33,69
Sri Lanka,Tammy Young,Blue Star,midfielder,73,37
Laos,David Anderson,Ezra,midfielder,62,65
Monaco,Peter Moore,Stade Monégasque,midfielder,76,53
San Marino,Renee Holmes,Tre Fiori,defender,56,16
Moldova,Patrick Olson,Zimbru,goalkeeper,37,-44
Slovakia,Christopher Miller,Spartak Trnava,defender,87,40
United Arab Emirates,Bradley Brown,Shabab Al Ahli,forward,55,39
Sweden,Holly Wang,Malmo FF,forward,72,67
Mexico,Miranda Gaines,Pumas UNAM,goalkeeper,52,-51
Malta,Christie Haley,Hamrun Spartans,goalkeeper,62,-37
Uzbekistan,Sabrina Beck,Bunyodkor,defender,64,53
Zambia,Hannah Brown,Lumwana Radiants,forward,58,48
Belize,Manuel Smith,Placencia Assassins,forward,70,51
Russia,Kayla Lynch,Dinamo Moscow,forward,74,39
Dominican Republic,Roy Alvarez,Cibao FC,defender,69,54
Gabon,Tanya Phillips,Sogea FC,forward,77,78
Syria,Paul George,Al Shorta,defender,64,76
Italy,Michelle Turner MD,AC Milan,midfielder,62,59
Namibia,Victor Bowman,Tura Magic,goalkeeper,52,-48
Equatorial Guinea,Joseph Whitehead,Canon Sportif,forward,45,56
Namibia,Crystal Barton,African Stars,goalkeeper,71,-28
Greece,Jacqueline Dennis,OFI Crete,forward,46,47
Belgium,Lori Jackson,Club Brugge,midfielder,87,57
Kyrgyzstan,Lauren Rice,Alga Bishkek,midfielder,62,67
Iraq,Benjamin Newman,Al Talaba,forward,75,39
Samoa,Austin Barton,Togafuafua,midfielder,77,1
Chad,Matthew Morgan,Tourbillon FC,midfielder,54,36
Ghana,Samantha Holden,Bechem United,defender,47,30
Saint Lucia,Nicholas Wade,Canaries,midfielder,60,17
Morocco,Zoe Peterson,Olympic Safi,midfielder,51,36
Nicaragua,Amy Smith,Juventus Managua,goalkeeper,44,-15
Ukraine,Jay Flores,Vorskla Poltava,goalkeeper,53,-50
