Country,Name,Club,Position,Games,Goals
Gambia,Sarah Williams MD,Wallidan,midfielder,56,80
Bangladesh,Courtney Morrow,Rahmatganj,forward,74,69
Azerbaijan,Christian Tucker,Neftchi Baku,midfielder,47,72
United Kingdom,Thomas Lopez,Leicester,forward,46,1
Cyprus,Paige Johnson,APOEL,midfielder,62,64
Tajikistan,Gary Schneider,Istiklol,defender,60,43
Myanmar,Elizabeth Douglas,Rakhine United,forward,52,54
Finland,Jonathan Davidson,SJK,defender,32,46
Cuba,Kimberly Fowler,FC La Habana,goalkeeper,42,-18
Poland,Amy Castro,Legia Warsaw,defender,61,1
South Sudan,Kevin Avila,Al Merreikh Juba,defender,51,81
Vietnam,John Powers,Binh Duong,goalkeeper,60,-38
Iran,Laura Dunn,Esteghlal,forward,48,65
Georgia,Erin Reynolds,Telavi,defender,44,59
Mexico,Dana Stevenson,Monterrey,defender,56,30
Uzbekistan,James Torres,Nasaf,forward,70,9
Fiji,Christopher Kent,Lautoka FC,goalkeeper,41,-71
Vietnam,Jason Jackson,Song Lam Nghe An,goalkeeper,61,-68
Panama,Kelly Smith,Atletico Chiriqui,defender,42,67
Cyprus,Andrea Owen,AEL Limassol,goalkeeper,67,-35
Morocco,Jerry Lee,Wydad Casablanca,defender,67,54
Thailand,Brandon Phillips,Buriram United,goalkeeper,55,-49
Colombia,Debra Cruz,Deportivo Cali,goalkeeper,61,-94
El Salvador,Bobby Deleon,FAS,forward,60,81
Botswana,Nicole Clark,Orapa United,midfielder,81,21
Sudan,Holly Evans,Al Amal Atbara,defender,65,89
Tuvalu,Savannah Jackson MD,Lakena United,midfielder,68,70
Costa Rica,Nathan Weaver,Cartagines,goalkeeper,54,-18
Greece,Jennifer Duncan,OFI Crete,forward,52,50
Chad,Gabrielle Johnson,Tourbillon FC,goalkeeper,61,-27
United Arab Emirates,Joanna Hart,Al Wahda,midfielder,66,75
Togo,Thomas Phillips,Dynamic Togolais,midfielder,42,1
Dominican Republic,Tiffany Bradford,Atletico Vega Real,defender,80,58
Saint Kitts and Nevis,Christina Steele,Village Superstars,goalkeeper,63,-34
Australia,Thomas Ingram,Brisbane Roar,goalkeeper,83,-33
Indonesia,Sandra Weber,Persib Bandung,forward,57,16
Solomon Islands,Sheryl Kelley,Solomon Warriors,midfielder,60,81
Paraguay,Elizabeth Johnson,Nacional,midfielder,44,58
Kazakhstan,Cynthia Guzman,Kyzylzhar,midfielder,50,28
Korea (North),Melinda Cunningham,Amrokgang,defender,43,27
Russia,Victoria Smith,Zenit,defender,78,79
Guinea-Bissau,Lynn Torres DVM,FC Cantchungo,goalkeeper,55,-37
Spain,Debra Perez,Barcelona,goalkeeper,72,-45
Dominican Republic,Harry Lopez,Barcelona Atletico,goalkeeper,65,-77
Mexico,Jeremy Price,Guadalajara,midfielder,75,61
Sierra Leone,Tina Ortiz,Kallon,forward,65,51
Bosnia and Herzegovina,Kathryn Wagner,Siroki Brijeg,goalkeeper,51,-61
Azerbaijan,Jason Coleman,Gabala,goalkeeper,50,-54
Eswatini,Erik Hernandez,Malanti Chiefs,midfielder,52,45
Cameroon,Eric Martinez,Union Douala,defender,52,52
Mexico,Lauren Donovan,Guadalajara,forward,58,4
India,Brian Holder,Chennaiyin FC,forward,54,45
Eswatini,Timothy Webb,Milling Hotspurs,defender,65,64
Belarus,Brooke Rivera,Dinamo Minsk,forward,46,32
Montenegro,James Jefferson,Decic,forward,49,21
Nepal,Patricia Webb,Sankata,goalkeeper,58,-40
Liechtenstein,Gregory Burton,Vaduz,midfielder,71,64
Germany,Manuel Beck,Wolfsburg,defender,75,45
Costa Rica,Daniel Campbell,San Carlos,forward,71,38
Fiji,Jacqueline Walker,Navua FC,defender,62,65
Switzerland,Wendy Mullen,Zurich,midfielder,68,63
Egypt,Michael Dixon,Pyramids FC,goalkeeper,70,-16
Montenegro,Michelle Bennett,Mornar,midfielder,52,35
South Sudan,Matthew Smith,Al Hilal Wau,goalkeeper,61,-26
Timor-Leste,Christopher Gonzalez,Karketu Dili,defender,53,69
Timor-Leste,Stephanie Cortez,DIT FC,midfielder,56,43
Azerbaijan,Jamie Harmon,Zira,forward,65,43
Saint Kitts and Nevis,Richard Lane,Newtown United,defender,84,29
Saint Lucia,Angela King,Gros Islet,midfielder,61,40
Ireland,Susan Robinson,Derry City,defender,51,47
Saint Kitts and Nevis,Kimberly Berg,Garden Hotspurs,defender,61,51
Latvia,Ashley Manning,Riga FC,goalkeeper,56,-51
Jordan,Christopher Gonzalez,Al Wehdat,midfielder,46,30
Niger,David Cox,ASFAN,forward,74,53
Nigeria,Alexandria Martin,Shooting Stars,goalkeeper,60,-126
Philippines,Manuel Jones,Dynamic Herb Cebu,midfielder,41,38
Georgia,Anthony Todd,Dinamo Tbilisi,defender,74,87
Namibia,Lucas Garcia,African Stars,forward,47,35
Tuvalu,Virginia Bowers,Funafuti,goalkeeper,69,-46
Moldova,Thomas Smith,Milsami,forward,61,42
Bahamas,Kathy Haynes,Western Warriors,goalkeeper,71,-46
France,Beth Wilson,Lille,defender,83,42
Romania,Jennifer Warren,FCSB,defender,41,33
Laos,Kathleen Smith,Vientiane FC,forward,47,17
Angola,Cynthia Scott,Academica do Lobito,goalkeeper,64,-42
Malawi,Misty Adams,Nyasa Big Bullets,midfielder,53,83
Romania,Savannah Dodson,UTA Arad,forward,39,36
Gambia,Ashley Ortega,Brikama United,midfielder,47,36
Kyrgyzstan,Stephanie Bailey,Kara-Balta,defender,57,27
Djibouti,Mark Garcia,FC Dikhil,forward,63,78
Peru,Alan Mack,Alianza Lima,forward,53,30
Nigeria,Jessica Fry MD,Akwa United,goalkeeper,70,-52
Syria,Ashley Grant,Tishreen,midfielder,38,51
Lesotho,Charlotte Flores,LDF,defender,40,96
Mozambique,Brent Rodriguez,Ferroviario Maputo,goalkeeper,61,-71
Nepal,Andrew Frost,Manang Marshyangdi,defender,51,69
Zimbabwe,Tammy Bryant,Highlanders,defender,60,23
Norway,Jacqueline Ramirez,Brann,defender,67,61
Ireland,Terri Rubio,Shamrock Rovers,goalkeeper,46,-66
Malawi,Gerald Williams,Silver Strikers,forward,52,14
Switzerland,Annette Jenkins,Servette,defender,63,71
Egypt,Eric Jones,Ismaily,goalkeeper,60,-74
Tajikistan,Jennifer Pearson,Ravshan,defender,65,49
Brazil,Sierra Duffy,Sao Paulo,defender,65,36
Guatemala,Barbara Hall,Comunicaciones,forward,80,75
Zambia,Elizabeth Davidson,Lumwana Radiants,goalkeeper,64,-99
Zambia,Joseph Ruiz,Forest Rangers,goalkeeper,70,-27
Bahamas,Robert Howe,Dynamos FC,midfielder,62,7
Australia,Samantha Marshall,Melbourne City,midfielder,65,29
Australia,Joel Jones,Western Sydney,forward,79,49
Solomon Islands,Duane Rowe,Real Kakamora,midfielder,69,16
Ecuador,Daniel Miller,Emelec,defender,64,35
Saint Vincent and the Grenadines,Andre James,Avenues United,defender,59,28
Mauritania,Gabriel Cain,Gendrim,midfielder,38,29
Bahrain,Mrs. Angela Chan,Al-Hidd,forward,58,45
Bulgaria,Melissa Jenkins,Lokomotiv Plovdiv,defender,53,1
Tanzania,Daniel Baird,Namungo,midfielder,43,41
Romania,Charles Valdez III,Universitatea Craiova,midfielder,63,37
Morocco,Joseph Powers,Wydad Casablanca,midfielder,52,76
Rwanda,Chad Henderson,Rayon Sports,goalkeeper,62,-67
Algeria,Brett Lawrence,MC Alger,defender,75,44
Montenegro,Christopher Silva,Mornar,forward,62,86
Syria,Kenneth Rangel,Al Jaish,midfielder,47,61
Albania,Frank Stephens,Partizani Tirana,defender,53,5
Liberia,Rhonda Smith,LISCR,midfielder,74,53
Myanmar,Selena Jones,Yadanarbon,forward,56,65
Chad,Mark Santiago,Tourbillon FC,midfielder,53,39
Afghanistan,Virginia Petty,Afghan FC,forward,61,45
Kiribati,John Walker,Kuria,midfielder,66,62
Libya,Kayla Freeman,Al Madina,defender,59,78
Vanuatu,Janet Douglas,Tupuji Imere,midfielder,47,49
Ghana,Harry Petty,Ashanti Gold,forward,65,53
Jordan,Michelle Moore,Al Faisaly,midfielder,68,56
Dominica,Adam Santos,South East FC,defender,80,29
Mozambique,Andrew Sullivan,UD Songo,defender,53,27
Pakistan,Peter Jones,Pakistan Air Force,forward,37,46
Finland,Christopher Mendez,Ilves,forward,46,62
Grenada,Katie House,Hard Rock FC,goalkeeper,70,-58
Costa Rica,Kristen Yates,Alajuelense,defender,39,68
Tuvalu,Lindsey Shaw,Manu Laeva,forward,50,41
Yemen,Kelly Vance,Al Tilal,forward,54,51
Zambia,Timothy English,Nkana,goalkeeper,81,-55
Czech Republic,Linda Arnold,Jablonec,defender,49,20
Indonesia,Natalie Wilson,Bali United,forward,85,54
Libya,David Foster,Al Akhdar,midfielder,65,3
Vanuatu,Raymond Horn,Amicale,goalkeeper,76,-60
Papua New Guinea,Todd Griffith,Morobe Wawens,goalkeeper,53,-47
Italy,Justin Mercado,Lazio,forward,58,37
Hungary,Matthew Carlson,Puskas Akademia,defender,53,49
Nigeria,Jennifer Pierce,Shooting Stars,defender,53,40
Antigua and Barbuda,Virginia Evans,Empire FC,forward,57,36
Syria,Melissa Richardson,Al Futowa,midfielder,69,80
New Zealand,Richard Sanchez,Auckland City,midfielder,53,63
Djibouti,Pamela Morgan,AS Arta/Solar7,forward,49,98
Mongolia,Carol Stafford,Khoromkhon,defender,65,16
Ecuador,Amanda Goodman,Delfin,goalkeeper,56,-58
Gabon,Julie Pineda,AS Mangasport,goalkeeper,79,-61
Barbados,Brandi Medina,Brittons Hill,goalkeeper,63,-72
Guinea-Bissau,Michelle Brown,Os Balantas,forward,56,46
Somalia,Crystal Herring,Banaadir Telecom,defender,57,56
Seychelles,Linda Yates,Northern Dynamo,goalkeeper,52,-39
United Kingdom,James Erickson,Manchester City,defender,44,65
United Arab Emirates,Charles Long,Baniyas,forward,57,69
Dominica,Sherry Lopez,Kubuli Strikers,midfielder,51,45
Cameroon,Michael Warner,Stade Renard,forward,48,42
Samoa,Clarence Garcia,Moataa,goalkeeper,53,-25
Mauritius,Robert Thomas,Curepipe Starlight,midfielder,41,77
Tajikistan,Christopher Case,Regar-TadAZ,defender,44,38
Dominican Republic,Joshua Williams,Jarabacoa FC,goalkeeper,63,-23
Monaco,Philip Jordan,Roca Team,midfielder,66,21
Solomon Islands,Tiffany Simpson,Kossa,defender,58,62
Rwanda,Jennifer Lee,Rayon Sports,midfielder,50,71
Romania,Stephanie Leblanc MD,Universitatea Craiova,defender,72,37
Colombia,Lisa Tran,Santa Fe,forward,34,38
South Africa,Diana Griffin,Kaizer Chiefs,forward,66,49
Algeria,Sean Harrington,CR Belouizdad,forward,70,53
Slovenia,Crystal May,Maribor,forward,58,78
Timor-Leste,Mike Smith,Boavista Timor,midfielder,58,10
New Zealand,Linda Knox,Team Wellington,goalkeeper,64,-56
Venezuela,Cynthia Williams,Deportivo Tachira,forward,67,76
Costa Rica,Sarah Coleman,Alajuelense,midfielder,57,74
Suriname,Stephanie Williams,Transvaal,defender,51,28
Romania,Alexander Peters,Farul Constanta,defender,59,54
Ireland,Jermaine Mathews,Shamrock Rovers,goalkeeper,62,-55
Kyrgyzstan,Amber Bullock,Alga Bishkek,goalkeeper,56,-60
Bahamas,Anthony Wood,Western Warriors,defender,67,1
Tajikistan,Aaron Boyd,Regar-TadAZ,forward,75,26
Japan,Meagan Coleman,Yokohama F. Marinos,defender,80,38
Japan,Stephanie Young,FC Tokyo,midfielder,42,93
Bahrain,William Smith,Al-Hidd,defender,54,34
Panama,Clinton Lyons MD,San Francisco,forward,53,48
Greece,Casey Collins,Aris,defender,78,77
Grenada,Randy Shelton,Hard Rock FC,defender,61,86
Niger,Maria Zhang,Olympic Niamey,forward,50,54
Czech Republic,John Cole,Slovan Liberec,midfielder,58,23
Suriname,Anthony Figueroa,Robinhood,defender,57,47
Afghanistan,Chad Ramos,De Spinghar Bazan,goalkeeper,46,-40
Saint Kitts and Nevis,Jesus Myers,SPD United,forward,67,43
Norway,Oscar Stanley,Valerenga,goalkeeper,84,-61
Suriname,Jennifer Schwartz,SNL,forward,71,50
Haiti,Angel Horton,Cavaly,forward,46,64
Belize,James Williams,Placencia Assassins,forward,59,66
Mexico,Ashley Johnson,Monterrey,goalkeeper,39,-60
Cape Verde,Patrick Baldwin,Derby FC,defender,61,76
Burundi,Max Burton,Kayanza United,forward,87,71
Benin,Alicia Miranda,AS Cotonou,defender,59,66
Georgia,Mr. Dylan Webb,Torpedo Kutaisi,defender,49,87
Solomon Islands,William Wolfe,Laugu United,midfielder,53,79
Trinidad and Tobago,David Moore,Police FC,defender,55,18
France,Angel White,Lyon,forward,55,51
Croatia,Randall Paul,Slaven Belupo,forward,61,99
Estonia,Allison Ball,Narva Trans,midfielder,72,92
Saint Vincent and the Grenadines,William Brown,Avenues United,goalkeeper,61,-1
Comoros,Dylan Jensen,Etoile d'Or,goalkeeper,50,-49
Saint Vincent and the Grenadines,Jon Olson,Avenues United,forward,66,37
Argentina,William Duffy,Boca Juniors,defender,49,41
Syria,Melissa Palmer,Al Jaish,defender,70,33
Togo,Matthew Martin,Kotoko,goalkeeper,53,-71
Italy,Jeremiah Melton,Roma,defender,62,40
Spain,Pamela Stanton,Barcelona,defender,60,79
Estonia,David Anderson Jr.,Flora Tallinn,midfielder,48,78
Colombia,Patrick Walker,Junior,midfielder,60,13
Ghana,Jacqueline Torres,Ashanti Gold,forward,68,61
Benin,Tiffany Maldonado DDS,Ayema FC,defender,44,56
United Kingdom,Erika Prince,Liverpool,defender,57,65
Poland,Daniel Ortega,Wisla Krakow,defender,63,39
Haiti,Kristen Russell,Cavaly,forward,55,62
Mozambique,Chase Harrison,Ferroviario Maputo,defender,59,62
China,Thomas Shaffer,Shanghai Shenhua,midfielder,43,32
Saint Lucia,Daniel Allen,Northern United,forward,56,37
Iran,John Martin,Gol Gohar,midfielder,74,35
Kyrgyzstan,Edward Hall,Alga Bishkek,midfielder,39,75
Belarus,Melissa Flores,Isloch,forward,51,32
Libya,Jonathan Stevenson,Al Nasr,forward,67,24
Andorra,Amy Obrien,UE Engordany,goalkeeper,50,-89
Luxembourg,Tiffany Green,Racing FC,midfielder,56,81
Bhutan,Matthew Alexander,Transport United,midfielder,67,54
Uruguay,Rebecca Gonzales,Montevideo Wanderers,goalkeeper,70,-30
Yemen,Kristin Sanchez,Al Yarmuk Al Rawda,defender,65,73
Namibia,Craig Reese,Blue Waters,midfielder,67,64
Djibouti,Andrew Parker,AS Boreh,forward,67,34
Pakistan,Jill Wright,Pakistan Navy,forward,51,29
Guinea-Bissau,Henry Contreras,Os Balantas,forward,52,75
Syria,Tamara Duncan,Al Wahda,defender,31,31
Lithuania,Christopher Hopkins,Dziugas,midfielder,54,22
Nauru,Tina Walker,Uaboe,forward,68,27
Namibia,Shane Mccarthy,Black Africa,defender,61,60
El Salvador,Mr. David Barnes,Platense,midfielder,68,82
Andorra,Sandra Kim,FC Santa Coloma,midfielder,48,38
Algeria,Leslie Villegas,ES Setif,midfielder,61,73
Samoa,Danielle Bauer,Moataa,defender,56,74
Austria,Kelly Ross,LASK,forward,66,69
Kiribati,Robert Moore,Kuria,defender,57,99
Bolivia,Sherry Allen,Oriente Petrolero,defender,40,11
Canada,Juan Brown,Vancouver Whitecaps,midfielder,54,31
Kiribati,Erika Jones,Tofaga,defender,58,54
Djibouti,Joseph Juarez,AS Arta/Solar7,forward,35,78
Barbados,Kevin Howard,Bridgetown FC,forward,68,80
Seychelles,Travis Dixon,Light Stars,goalkeeper,46,-14
Bhutan,Emily Scott,Paro FC,forward,68,44
Belarus,James Guerra,Torpedo Zhodino,forward,61,60
South Sudan,Mark Roth,Al Hilal Wau,defender,40,18
Serbia,David Long,Spartak Subotica,goalkeeper,52,-37
Andorra,Curtis Avila,FC Santa Coloma,goalkeeper,53,-72
Norway,Dr. April Flowers DDS,Bodo/Glimt,defender,60,23
Benin,Eric Shields,Requins de l'Atlantique,goalkeeper,72,-37
Rwanda,Stacey Hernandez,APR,forward,70,43
Bahrain,Mrs. Brandy Brown DVM,Al-Muharraq,defender,59,73
Zambia,Emily Davis,Power Dynamos,midfielder,51,69
Haiti,Bradley Bowers,Don Bosco,midfielder,46,67
Senegal,Derek Hardin,Casa Sport,forward,78,33
Dominica,Diane Taylor,Kubuli Strikers,forward,63,31
Myanmar,John King,Hanthawaddy United,forward,64,61
Nigeria,Christopher Duke,Shooting Stars,midfielder,62,4
Armenia,Brian Poole,Shirak,midfielder,67,31
Mauritius,Barry Cain,Petite Riviere Noire,midfielder,60,15
Guinea-Bissau,Jaclyn Merritt,FC Cantchungo,defender,46,8
Monaco,Jacob Baker,Monaco II,forward,71,66
Ukraine,Charles Murray,Dynamo Kyiv,midfielder,76,43
Saint Vincent and the Grenadines,Heather Huynh,Avenues United,midfielder,72,36
Ethiopia,Joshua Lopez,St. George,forward,56,47
Chile,Douglas Turner,Union Espanola,goalkeeper,59,-87
Brunei,Rita Shah,Kasuka FC,midfielder,42,49
Bolivia,Michael Allen,Oriente Petrolero,goalkeeper,67,-37
Comoros,Victoria Simon,US Zilimadjou,goalkeeper,61,-60
Seychelles,Brian Smith,Light Stars,goalkeeper,74,-31
Uganda,Stephanie Juarez,Onduparaka,defender,51,42
Andorra,Allison Medina,UE Engordany,goalkeeper,49,-17
Congo,Christine Donaldson,Diables Noirs,forward,66,30
Kenya,Gregory Ramirez,Tusker,goalkeeper,60,-62
Uruguay,Mary Hamilton,Cerro,defender,68,59
Kyrgyzstan,Michael Harris,Alga Bishkek,forward,60,5
Iraq,Abigail Dodson,Al Shorta,defender,35,40
Cambodia,Alejandra Holmes,Kirivong Sok Sen Chey,forward,43,8
Slovakia,Craig Ramirez,Ruzomberok,forward,67,64
Haiti,Joseph Potter,Baltimore SC,midfielder,48,44
Niger,Thomas Morrison,ASFAN,defender,46,38
Azerbaijan,Courtney Hendricks,Sumgayit,midfielder,60,9
Cameroon,Tammy Sanders,Canon Yaounde,midfielder,66,59
Rwanda,James Dennis,Bugesera,forward,63,82
Thailand,Robert Meyers,Muangthong United,forward,59,65
Bahamas,Nicole Everett,Baha Juniors,goalkeeper,62,-65
Malawi,Christine Smith,MAFCO,defender,66,37
Mali,Max Rivera,Stade Malien,defender,59,76
Portugal,Robert Gamble,Braga,goalkeeper,61,-41
Czech Republic,Joseph Reynolds,Sparta Prague,defender,71,1
South Africa,Christopher Dorsey,Mamelodi Sundowns,goalkeeper,43,-47
Vietnam,Matthew Santiago,Hoang Anh Gia Lai,goalkeeper,58,-66
Tuvalu,Kimberly Klein,Funafuti,forward,53,47
Laos,Judith Howell,Lao Toyota,goalkeeper,65,-1
Gabon,Jonathan Romero,Sogea FC,defender,64,39
Belgium,Jessica Frye,Genk,goalkeeper,75,-61
Eswatini,Andrew Fowler,Green Mamba,goalkeeper,68,-36
India,Jessica Jones,Hyderabad FC,goalkeeper,80,-37
Paraguay,Michele Patterson,Olimpia,midfielder,62,38
Japan,Amber Romero,Nagoya Grampus,defender,63,66
Iceland,Vicki Thompson,Vikingur Reykjavik,defender,63,37
Iran,Anthony Bailey,Persepolis,midfielder,63,48
Slovakia,Stephanie Smith,Spartak Trnava,goalkeeper,57,-29
Bolivia,Walter Bolton,Nacional Potosi,midfielder,72,59
Uzbekistan,Jaime Simmons,Pakhtakor,goalkeeper,57,-63
Costa Rica,Amber Wallace,Santos de Guapiles,midfielder,72,38
Croatia,Darren Rodriguez,Lokomotiva,goalkeeper,64,-105
Senegal,Jessica Griffin,Casa Sport,defender,73,56
Ethiopia,Tiffany Beltran,St. George,midfielder,66,29
Serbia,Cynthia James,Red Star Belgrade,midfielder,63,127
Cape Verde,Patricia Matthews MD,Fogo 1876,midfielder,56,95
Guyana,Robert Taylor,Western Tigers,forward,53,26
Vanuatu,Thomas Walton,Amicale,forward,56,91
Algeria,Zachary Powell,JS Kabylie,goalkeeper,63,-71
Colombia,Rebecca Rhodes,Junior,defender,46,25
Thailand,Susan Hudson,Chonburi,midfielder,59,46
Greece,Kelli Morales,Olympiacos,forward,53,48
Kiribati,Melissa Banks,Betio,midfielder,53,71
Korea (North),Larry Brooks,Rimyongsu,defender,65,46
Kyrgyzstan,Robert Eaton,Dordoi Bishkek,defender,66,53
Micronesia,Alexis Stanton,Weno,defender,64,42
Austria,Eddie Jones,Rapid Wien,midfielder,53,61
Armenia,Nicole Small,Noah,goalkeeper,53,-42
Korea (North),David Davila,April 25,goalkeeper,66,-30
Israel,Steven Conley,Maccabi Haifa,goalkeeper,56,-35
Qatar,Dr. Brandon Walker,Al Arabi,midfielder,73,43
Nigeria,Mrs. Katherine Huber,Rivers United,defender,53,7
Mali,Chad Hernandez,Real Bamako,forward,68,52
Hungary,Michael Smith,Puskas Akademia,defender,70,37
Turkey,Paul Cole,Galatasaray,midfielder,53,35
Saudi Arabia,Mr. Eric Lopez,Al Hilal,goalkeeper,63,-3
Uruguay,Shannon Smith,Boston River,midfielder,42,67
Panama,Timothy Perez,San Francisco,midfielder,62,39
Cameroon,Lauren Harris,APEJES Academy,forward,69,79
Portugal,Amanda Hurley,Braga,goalkeeper,34,-35
Cuba,Mario Parrish,FC Pinar del Rio,forward,72,24
Micronesia,Kevin Jenkins,Ulithi,defender,34,82
Saudi Arabia,Melvin Anderson,Al Nassr,forward,72,77
Mauritius,Joseph Smith,Bolton City,goalkeeper,69,-59
Kyrgyzstan,Kristin Hopkins,Alay Osh,defender,44,30
Guatemala,Joseph Davis,Municipal,goalkeeper,45,-67
Lebanon,Allison Snow,Al Ahed,goalkeeper,74,-75
Russia,James Mcdonald,Lokomotiv Moscow,forward,54,28
Dominica,Steven Taylor,Segments FC,goalkeeper,66,-19
Vanuatu,Jeffrey Ross,Mauwia,goalkeeper,86,-108
Saudi Arabia,Dr. Janice Dunn,Al Nassr,defender,58,22
Haiti,Edward Baker,Don Bosco,goalkeeper,67,-69
Chad,Randy Miller,Foullah Edifice,midfielder,77,15
Kyrgyzstan,Lisa Garcia,Neftchi Kochkor-Ata,midfielder,53,51
Marshall Islands,Heather Hutchinson MD,Jaluit FC,forward,82,14
Hungary,Cheyenne Hall,Ujpest,goalkeeper,44,-89
India,Tammy Sutton,Chennaiyin FC,forward,73,39
Lebanon,Grant Franklin,Bourj,defender,58,23
Guatemala,Brian Guerrero,Xelaju,defender,50,88
Nicaragua,Carrie Burns,ART Municipal Jalapa,goalkeeper,42,-40
Iraq,Bruce Hendrix,Al Shorta,defender,69,30
Nepal,Dr. Melissa Gutierrez,Jawalakhel,defender,41,53
Syria,Henry Price,Al Wahda,goalkeeper,48,-11
Vietnam,Sherry Mclaughlin,Hong Linh Ha Tinh,defender,54,45
Vietnam,Robert Clay,Hong Linh Ha Tinh,midfielder,62,29
Moldova,Brandi Perry,Dinamo-Auto,forward,58,35
Lithuania,Sarah Patterson,Suduva,forward,61,61
Monaco,Matthew Carrillo,Monaco II,goalkeeper,69,-23
Grenada,Diane Perez,Paradise FC International,midfielder,79,25
Guinea-Bissau,Nancy Hernandez,Bula FC,forward,53,64
Honduras,Anthony Decker,Marathon,defender,53,35
