Country,Name,Club,Position,Games,Goals
Tanzania,Michele Gomez,Biashara United,midfielder,59,25
Cuba,Philip Coffey,FC Villa Clara,midfielder,63,60
Latvia,Amy Stephenson,Riga FC,forward,67,29
Czech Republic,Mary Lester,Sparta Prague,defender,37,55
Marshall Islands,Timothy Sullivan,Ebeye United,forward,63,85
Seychelles,James Flynn,Anse Reunion,forward,61,74
Eritrea,Cody Carpenter,Red Sea FC,defender,71,128
Mauritius,Samantha Ortiz,Quatre Bornes,midfielder,75,47
Bolivia,Phillip Dennis,Bolivar,forward,61,75
Somalia,Janice Cox,Horseed,forward,73,50
Papua New Guinea,Kimberly Pollard,Gulf Komara,forward,42,53
Estonia,Michelle Fletcher,Narva Trans,goalkeeper,54,-61
Bulgaria,Malik Rose,Levski Sofia,goalkeeper,52,-85
Belgium,William Conway,Anderlecht,midfielder,59,50
Ukraine,Timothy Carroll,Vorskla Poltava,forward,55,9
Zimbabwe,Melissa Yoder,Highlanders,midfielder,60,29
Romania,Rita Roberson MD,Sepsi,midfielder,49,63
South Sudan,Ashley Spears,Al Rabita Juba,midfielder,37,43
New Zealand,Robert Lee,Hamilton Wanderers,midfielder,69,87
Sierra Leone,David Jones,Mighty Blackpool,midfielder,43,59
Bosnia and Herzegovina,Kendra Thompson,Siroki Brijeg,midfielder,72,7
Lithuania,Eric Underwood,Panevezys,defender,63,93
Costa Rica,David Morrow,Herediano,midfielder,44,68
Turkmenistan,Tammy Scott,Nebitchi,defender,63,33
Saint Kitts and Nevis,Jillian Hendricks,Village Superstars,defender,46,111
Romania,Charles Pierce,Sepsi,defender,58,60
Palau,Stephanie Lewis,Lyon FC,forward,71,34
Dominica,Stacy Moore,South East FC,goalkeeper,68,-68
Iran,Michele Beck,Mes Rafsanjan,goalkeeper,70,-45
Liechtenstein,John Tucker,Ruggell,goalkeeper,50,-57
Ethiopia,Roberto Mason,Ethiopian Coffee,defender,69,50
Mauritius,Nancy Dominguez,Petite Riviere Noire,goalkeeper,64,-22
Equatorial Guinea,Emily Sampson,Leones Vegetarianos,midfielder,84,66
Comoros,Bridget Cole,Volcan Club,goalkeeper,62,-71
Antigua and Barbuda,Willie Ramsey,Empire FC,midfielder,73,13
Uzbekistan,Andrew Dean,AGMK,midfielder,40,36
Turkey,Kevin Lewis,Basaksehir,forward,59,53
Brazil,Dr. Lawrence Herman,Atletico Mineiro,goalkeeper,65,-68
Burundi,Jonathan Vazquez,Musongati FC,forward,61,67
Guatemala,Jeffrey Cardenas,Malacateco,defender,60,43
Lesotho,Carla Wilson,LCS,goalkeeper,52,-66
Hungary,Katie Ryan,MTK Budapest,forward,63,43
Chile,Amy Anderson,Audax Italiano,defender,41,66
Colombia,Daniel Finley,Atletico Nacional,defender,70,47
El Salvador,Karen Blackwell,Alianza,midfielder,48,63
Malta,Hunter Arnold,Gzira United,goalkeeper,55,-51
Poland,Timothy Jones,Lech Poznan,goalkeeper,61,-57
Antigua and Barbuda,Arthur Moss,Old Road FC,forward,62,16
Ethiopia,Tony Collins,Bahir Dar Kenema,defender,78,39
Ghana,Bonnie Peterson,Hearts of Oak,defender,48,64
Canada,Kevin Perez,Toronto FC,defender,71,39
Costa Rica,Jennifer Watson,Cartagines,midfielder,51,19
Oman,Nathaniel Graham,Al Nahda,midfielder,45,59
Slovakia,Dean Parks,DAC Dunajska Streda,midfielder,63,47
San Marino,Alexandra Perez,Tre Penne,defender,68,43
Syria,Andrea Roberts,Al Ittihad Aleppo,midfielder,57,52
Marshall Islands,Aaron Ayers,Jaluit FC,forward,35,43
Somalia,Brian Gonzalez,Jazeera,defender,48,51
Iceland,Cody Griffith,KA,midfielder,50,71
Costa Rica,Kyle Meadows,San Carlos,forward,65,21
Venezuela,Terri Duncan,Monagas,midfielder,41,39
South Africa,Michelle Harris,SuperSport United,midfielder,56,42
Spain,Michael West,Real Madrid,midfielder,51,77
Mali,Robin Fox,COB,goalkeeper,59,-38
Trinidad and Tobago,Joan Spears,Defence Force,midfielder,45,39
Malta,Kathryn Ramirez,Hamrun Spartans,forward,60,80
Syria,Laura Sanders,Al Futowa,defender,66,1
Andorra,Gregory Miller,UE Sant Julia,defender,70,1
Micronesia,Eddie Harrington,Nukuoro,midfielder,42,73
Russia,Steven Smith,CSKA Moscow,midfielder,56,52
Togo,Amber Knapp,Maranatha,forward,68,66
Palau,Sonya Clarke,Lyon FC,goalkeeper,43,-13
Trinidad and Tobago,Lindsay Cook,W Connection,goalkeeper,51,-57
Russia,Martin Garcia,Zenit,defender,56,64
Papua New Guinea,Caitlyn Johnson,Morobe Wawens,midfielder,79,42
Suriname,Natalie Barton,Notch,goalkeeper,69,-70
Sweden,Vickie Stephens,Norrkoping,goalkeeper,55,-16
Central African Republic,Nancy Hines,ASDR,forward,62,66
Maldives,Richard Davis,Valencia,goalkeeper,67,-58
Comoros,James Phillips,Volcan Club,goalkeeper,51,-77
Saudi Arabia,Wanda Walker,Al Nassr,goalkeeper,63,-72
Brunei,Julie Hicks,Wijaya FC,defender,58,50
Mauritania,Gabriel Lawrence,Kaedi,goalkeeper,63,-33
Saint Kitts and Nevis,Lynn Vincent,Village Superstars,defender,59,77
Jamaica,Dr. Andrew Mitchell IV,Mount Pleasant,goalkeeper,61,-31
Panama,Christopher Webster,Alianza,defender,66,59
Lesotho,Mark Michael,LCS,goalkeeper,60,-29
Bosnia and Herzegovina,Jerry Adams,Velez Mostar,forward,54,70
Armenia,Ana Curtis,Shirak,forward,81,119
Belgium,Patricia Edwards,Standard Liege,midfielder,71,25
Ireland,Susan Miller,Shelbourne,defender,69,19
San Marino,Adam Hunter,Tre Fiori,forward,63,27
Brunei,John Lawrence,Lun Bawang,midfielder,68,47
Israel,Daniel Powers,Bnei Sakhnin,defender,49,64
Nigeria,Leslie Sherman,Akwa United,midfielder,41,61
Paraguay,William Medina,Nacional,midfielder,53,31
Chile,Amber Mccormick,Union Espanola,forward,70,87
Kenya,Brandon Peterson,Kariobangi Sharks,goalkeeper,51,-83
Saudi Arabia,Ronald Keller,Al Shabab,defender,45,15
Monaco,Alyssa Chavez,Jeunesse d'Antibes,goalkeeper,50,-73
Madagascar,Isaiah Ward,Ajesaia,midfielder,61,91
Sri Lanka,Melanie Ortega,Java Lane,goalkeeper,54,-48
Dominican Republic,Cynthia Wolfe,Delfines del Este,goalkeeper,50,-72
Mauritius,Christopher Shelton,Quatre Bornes,midfielder,55,66
Slovakia,Jared Hensley,Ruzomberok,goalkeeper,55,-69
Denmark,Mrs. Susan Foley,Randers,goalkeeper,61,-42
Czech Republic,Christopher Monroe,Banik Ostrava,forward,53,31
Turkmenistan,Robert Riley,Shagadam,forward,64,19
Guyana,Antonio Moore,Western Tigers,forward,64,58
Indonesia,Brian Booker,Arema FC,midfielder,65,76
Finland,Robert White,Ilves,goalkeeper,64,-14
Gambia,Gabriella Chavez,Steve Biko FC,forward,72,55
San Marino,Danny Maddox,Folgoro,midfielder,42,25
Saudi Arabia,Lori Lucas,Al Fateh,goalkeeper,51,-64
Canada,Victoria Schmidt,Toronto FC,midfielder,58,32
Panama,Ronald Roman,Plaza Amador,goalkeeper,65,-29
Cape Verde,Juan Davis,CS Mindelense,forward,39,64
Poland,Johnny Nunez,Wisla Krakow,midfielder,61,62
Tonga,Michele Wood,Ha'apai,midfielder,73,20
Belarus,Brian Martin,Torpedo Zhodino,midfielder,47,15
China,Helen Payne,Tianjin Jinmen Tiger,goalkeeper,50,-15
Denmark,Terri Barnes,Viborg,goalkeeper,49,-103
Nigeria,Anthony Johnson,Kano Pillars,goalkeeper,70,-4
Fiji,Bruce Thomas,Suva FC,forward,52,51
Saint Lucia,Kelsey Ortega,Micoud,goalkeeper,73,-57
Ukraine,Carlos Anderson,Shakhtar Donetsk,midfielder,57,62
Spain,Tracy Gonzalez,Sevilla,forward,63,47
Micronesia,James Reyes,Ulithi,goalkeeper,30,-44
Uruguay,Daniel Palmer,River Plate Montevideo,midfielder,51,64
Cambodia,Joann Ramos,Soltilo Angkor,defender,58,26
United Arab Emirates,Kathleen Mills,Baniyas,defender,53,24
Sri Lanka,Joshua Macdonald,Defenders,midfielder,62,48
Uganda,Ernest Larsen,Express,goalkeeper,52,-36
Montenegro,Gabrielle Flores,Iskra,defender,50,55
Uganda,William Payne,KCCA,defender,45,48
Samoa,Anthony Chambers,Kiwi FC,forward,58,68
Norway,Kyle Barnes,Bodo/Glimt,forward,67,78
Uganda,Robin Powell,KCCA,defender,55,23
Cameroon,John Garcia,Union Douala,midfielder,58,50
Latvia,Jackson Holmes,Spartaks Jurmala,forward,74,52
New Zealand,Joel Young,Hawke's Bay United,midfielder,70,61
Slovakia,Tammy Hamilton,MSK Zilina,midfielder,57,66
Bulgaria,Joseph Smith,CSKA Sofia,defender,65,26
Bahrain,Christopher Valdez,Al-Hidd,midfielder,70,20
Denmark,Andrew Johnson,Nordsjaelland,midfielder,58,40
Iraq,Cynthia Mendoza,Al Shorta,midfielder,66,16
Georgia,Leonard Graham,Samgurali,midfielder,62,86
Sierra Leone,Julian Miller,East End Lions,defender,63,14
South Sudan,Theresa Clark,Al Rabita Juba,goalkeeper,73,-91
Burundi,Taylor Johnson,Musongati FC,goalkeeper,48,-43
Libya,Sandra Wilcox,Al Nasr,defender,58,37
Bangladesh,Sean Douglas,Abahani Dhaka,midfielder,62,32
Slovenia,Richard Lewis,Gorica,goalkeeper,64,-4
Spain,Kevin Maxwell MD,Sevilla,defender,63,49
Switzerland,Nicole Lopez,Zurich,goalkeeper,63,-22
Iraq,Carlos Brown,Al Zawraa,defender,52,27
United Kingdom,Melanie Little,Chelsea,forward,57,28
Cuba,Daniel Sanchez,FC Guantanamo,midfielder,79,59
Sweden,Stephanie Myers,Hacken,goalkeeper,52,-71
Haiti,Aaron Brown,FICA,midfielder,50,53
Dominican Republic,Taylor Pearson,Atletico Vega Real,defender,68,47
Mauritius,James Strickland,Petite Riviere Noire,forward,42,70
Philippines,Jacqueline Harper,Ceres-Negros,goalkeeper,74,-40
Cyprus,Kevin Harper,Apollon Limassol,goalkeeper,57,-95
Saint Kitts and Nevis,Lauren Nguyen,Garden Hotspurs,forward,68,35
Congo,John Chapman,JS Talangai,defender,52,47
Nauru,Tammy Davis,Aiwo,forward,61,42
Pakistan,Randall Reynolds,Karachi Port Trust,defender,64,47
Cambodia,Jasmine Wilson,Phnom Penh Crown,midfielder,65,44
Saudi Arabia,Mary Berger,Al Taawoun,defender,58,30
Nauru,Holly Neal,Nauru FC,goalkeeper,68,-100
Spain,Rachel Alexander,Atletico Madrid,midfielder,49,78
United Arab Emirates,Anna Murray,Al Wasl,midfielder,62,24
Mozambique,David Henry,Ferroviario Maputo,goalkeeper,68,-12
Niger,Michael Clark,Douanes,midfielder,50,66
Brazil,Candice Graham,Atletico Mineiro,forward,58,71
Iraq,Carlos Montgomery,Al Zawraa,goalkeeper,63,-49
Ukraine,Ryan Villegas,Dynamo Kyiv,goalkeeper,48,-75
Norway,Andre Moran,Lillestrom,defender,68,40
Guinea-Bissau,Kelly Walker,Estrela Negra,defender,70,60
Ireland,Ashley Schneider,Derry City,midfielder,68,72
Sweden,Karen Wagner,Norrkoping,midfielder,69,36
Nepal,Nicholas Mcdonald,Sankata,forward,53,36
Costa Rica,David Andrade,Herediano,forward,72,70
Niger,Elizabeth Aguilar,Sahel SC,midfielder,62,49
Cameroon,Heidi Hester,Union Douala,goalkeeper,63,-80
Cape Verde,Michelle Costa,Batuque FC,defender,50,58
Turkey,Phyllis Green,Trabzonspor,goalkeeper,59,-19
Timor-Leste,Matthew Arnold,Boavista Timor,defender,63,75
Switzerland,Miranda Bradley,Basel,midfielder,76,80
Barbados,Mrs. Jessica May,Weymouth Wales,forward,38,1
San Marino,Cynthia Armstrong,Tre Fiori,forward,71,28
Romania,Joshua Erickson,Rapid Bucuresti,defender,38,38
Uruguay,Kevin Bennett,River Plate Montevideo,defender,58,68
Tajikistan,James Chen,Khujand,forward,67,76
Costa Rica,Jeffrey Collins,Perez Zeledon,defender,60,60
Madagascar,Blake Gutierrez,DSA Antananarivo,forward,56,49
Israel,Yvonne Walters,Maccabi Tel Aviv,defender,34,14
Pakistan,Edward Gregory,WAPDA,goalkeeper,47,-52
Guinea-Bissau,Rhonda Kim,Sporting Bissau,defender,57,28
Cambodia,Todd Roberts,Phnom Penh Crown,forward,61,42
Korea (South),Charlene Wilson,Ulsan Hyundai,forward,34,9
Botswana,Elizabeth Fowler,Orapa United,midfielder,61,6
Japan,Anna Hansen,Kawasaki Frontale,forward,56,1
Angola,Charles Adams,Sagrada Esperanca,midfielder,56,39
Cameroon,James Adams,APEJES Academy,defender,67,84
San Marino,Stacy Barron,Tre Fiori,goalkeeper,58,-52
Poland,Noah Simpson,Lechia Gdansk,midfielder,55,101
Costa Rica,William Vasquez,Perez Zeledon,forward,62,45
Benin,Robin Reed,Ayema FC,midfielder,60,67
Singapore,Ryan Austin,Lion City Sailors,forward,61,52
Djibouti,Patricia Fletcher,AS Boreh,defender,64,64
United States,Mary Ho,New York City FC,defender,53,111
Saudi Arabia,Thomas Shepherd,Al Taawoun,forward,60,65
Romania,Carmen Johnson,CFR Cluj,forward,75,73
Peru,Mrs. Sonya Stone,UTC Cajamarca,goalkeeper,62,-49
Estonia,David Harris,Levadia Tallinn,forward,70,45
Germany,Mercedes Ward,Eintracht Frankfurt,midfielder,47,34
Lesotho,Amanda Russell,LMPS,goalkeeper,33,-50
Nauru,Matthew Perkins,Anetan,defender,50,24
Suriname,Larry Faulkner,Robinhood,forward,61,63
Mexico,Jasmine Glenn,Cruz Azul,midfielder,64,39
Netherlands,Chelsea Pierce,PSV,midfielder,42,30
Spain,Alexander Dominguez,Valencia,defender,57,46
Armenia,Gregory Pierce,Ararat Yerevan,forward,39,32
Germany,Francisco Garcia,Bayer Leverkusen,goalkeeper,40,-45
Bangladesh,Nicole Jimenez,Sheikh Russel,midfielder,66,69
Croatia,Mr. Bradley Brooks,Hajduk Split,goalkeeper,50,-14
Palau,Keith Walker,Team Friendship,goalkeeper,45,-88
Chad,Charles Burch,AS Moundou,defender,68,30
Nicaragua,Chad Miller,Diriangen,midfielder,52,52
Turkey,Alexandra Santiago,Antalyaspor,defender,36,44
Bahamas,Jessica Ortega,Western Warriors,midfielder,56,59
Kazakhstan,Jeffrey Collins,Ordabasy,midfielder,53,6
Sierra Leone,Jeremy Payne,FC Johansen,goalkeeper,50,-22
Angola,Richard Robertson,Recreativo do Libolo,forward,78,55
Micronesia,Noah Mcknight,Weno,defender,35,28
Timor-Leste,Andrea Krueger,Sport Laulara,midfielder,68,74
Saint Kitts and Nevis,Steven Garner,SPD United,midfielder,58,77
Kazakhstan,Lee Cooper,Kairat,forward,69,53
Oman,Gabrielle Mercado,Dhofar,forward,43,36
Guinea,Megan Fisher,Fello Star,defender,80,22
Peru,Gary Bradley,Alianza Lima,forward,39,52
Romania,Mrs. Haley Green,CFR Cluj,forward,55,80
Italy,Joseph Kelly,Roma,midfielder,65,67
New Zealand,James Willis,Hawke's Bay United,midfielder,76,43
Laos,Rachel Garcia,Ezra,forward,57,24
Cuba,Deborah Osborne,FC Villa Clara,goalkeeper,81,-31
Cape Verde,Jesse Kim,Vitoria FC,goalkeeper,52,-80
Nauru,Jared Nelson,Uaboe,forward,52,73
Mongolia,Laurie Ramirez,Ulaanbaatar,midfielder,48,43
United Arab Emirates,Joshua Garrison,Al Nasr,defender,49,29
Bulgaria,Lauren Nielsen,Ludogorets,defender,55,43
Iceland,Joseph Dyer,Vikingur Reykjavik,forward,68,36
Guatemala,Jennifer Davis,Malacateco,midfielder,45,49
Liechtenstein,Jeffrey Harrison,Ruggell,midfielder,42,55
France,Ruth Lloyd,Lyon,midfielder,56,80
Guinea-Bissau,Alexander Foster,UDIB,defender,56,35
Angola,Melissa Ramirez,Primeiro de Agosto,forward,79,35
Indonesia,Scott Rowland,Madura United,forward,52,71
Zimbabwe,William Lang,Dynamos,forward,68,69
Switzerland,Vanessa Williamson,Lugano,forward,66,19
Korea (South),Thomas Willis,Pohang Steelers,midfielder,70,1
Fiji,David Poole,Nadi FC,forward,65,77
Comoros,Sarah Parker,Volcan Club,goalkeeper,46,-59
United States,Andrew Anderson,Philadelphia Union,forward,68,98
Jordan,Debbie Davidson,Al Salt,goalkeeper,39,-71
Poland,Danielle Mueller,Piast Gliwice,goalkeeper,49,-23
Botswana,Karen Garcia,Mochudi Centre Chiefs,midfielder,57,48
Haiti,Tracey Hampton,FICA,midfielder,43,40
Israel,Daniel Williams,Hapoel Tel Aviv,defender,71,38
Kazakhstan,Robert Montgomery,Aktobe,forward,46,21
Burundi,Mike Wilson,Olympic Star,midfielder,81,56
Tonga,Anna English,Lotoha'apai,goalkeeper,53,-10
Senegal,Shannon Castillo,Jaraaf,defender,77,70
Tanzania,Christopher Ponce,Young Africans,goalkeeper,78,-60
Paraguay,Sarah Byrd,Sol de America,defender,48,13
Benin,Samuel Townsend,ASPAC,defender,55,73
Slovenia,Emily Guerrero,Olimpija Ljubljana,defender,57,71
Kazakhstan,Mia Davis,Ordabasy,defender,48,55
Thailand,Brittney Schultz,Muangthong United,defender,51,16
Albania,Craig Merritt,Dinamo Tirana,defender,57,21
Niger,Julie Harrison,Douanes,forward,66,60
South Sudan,Todd Garcia,Al Merreikh Juba,goalkeeper,47,-76
Monaco,Chelsey Cooley,Stade Monégasque,defender,50,40
India,Mrs. Laurie Gillespie,Jamshedpur FC,forward,44,36
Venezuela,Kathleen Rivas,Metropolitanos,defender,52,44
Equatorial Guinea,Teresa Walker,Sony de Ela Nguema,goalkeeper,66,-19
Malaysia,Courtney Joseph,Sabah,defender,40,33
Netherlands,Amber Li,AZ Alkmaar,goalkeeper,46,-50
Andorra,David Gentry,FC Ordino,defender,38,40
Nigeria,Janet Smith,Plateau United,forward,58,93
Nauru,Jonathan Riley,Nauru FC,midfielder,68,31
Chad,John Baker,AS CotonTchad,midfielder,53,26
Russia,Sara Obrien,Zenit,goalkeeper,59,-66
Finland,Elizabeth Rios,Honka,defender,51,48
Comoros,Jeffrey Smith,Etoile d'Or,goalkeeper,65,-35
Malaysia,Juan Ramos,Kuala Lumpur City,midfielder,68,25
Turkmenistan,Elizabeth Vega MD,Nebitchi,midfielder,51,67
Bahrain,Gregory Burns,Manama Club,goalkeeper,58,-56
Mali,Jose Sanders,Stade Malien,forward,58,8
Bhutan,David Carney,Druk United,midfielder,69,65
Andorra,Matthew White,Atletic Escaldes,forward,54,33
Montenegro,Carolyn Kim,Iskra,forward,53,72
Central African Republic,Rebecca Salazar,Olympic Real,midfielder,52,55
France,Russell Rodriguez,Lyon,forward,65,3
Saint Lucia,Jill Frey,VSADC,defender,48,71
Burkina Faso,Jose Patterson,ASFA Yennega,goalkeeper,52,-66
Jordan,Teresa Oliver,Al Hussein,midfielder,66,64
Czech Republic,Johnny Powers,Jablonec,forward,78,47
Moldova,David Morgan,Petrocub,midfielder,56,37
Kenya,Alexander Kerr,AFC Leopards,defender,70,60
Tajikistan,Stacy Chen,CSKA Pamir,defender,60,66
El Salvador,Justin Gonzales,Aguila,defender,63,64
Kuwait,Shelly Ross,Al Kuwait,midfielder,69,58
Mauritius,Jessica Ortega,Quatre Bornes,midfielder,52,68
Solomon Islands,Peter Campbell,Real Kakamora,goalkeeper,68,-9
Oman,Jimmy Reyes,Al Nahda,forward,72,56
Finland,Pamela Wright,Ilves,forward,71,122
Yemen,Monica Wang,Al Saqr,defender,50,37
Zambia,Donna King,Kabwe Warriors,defender,49,73
Venezuela,James Frazier,Deportivo La Guaira,forward,67,36
Somalia,Helen Morrison,Banaadir Telecom,goalkeeper,64,-46
Rwanda,Phillip Browning,APR,goalkeeper,56,-71
Nigeria,Tanya Davis,Rivers United,midfielder,35,1
Marshall Islands,Lisa Hernandez,Majuro FC,defender,42,28
Switzerland,John Gay,Young Boys,defender,84,24
Lebanon,Maureen Olsen,Bourj,midfielder,88,41
Nepal,Jorge Kelley,Machhindra,defender,57,23
Suriname,Kristine Lopez,SNL,midfielder,55,62
Fiji,Jonathan Rojas,Ba FC,defender,67,64
China,Daniel Jones,Beijing Guoan,midfielder,52,3
Panama,Teresa Wallace,Alianza,forward,45,110
Mozambique,Dr. Donna Padilla MD,UD Songo,defender,57,75
Indonesia,David Dixon,Persebaya Surabaya,defender,55,30
Bahrain,Timothy Mathews,East Riffa,defender,80,28
Palau,Mr. Raymond Martin,New Stars,goalkeeper,79,-72
Jamaica,Jonathan Porter,Tivoli Gardens,midfielder,56,26
Bulgaria,Ryan Burton,Botev Plovdiv,forward,57,29
Spain,Regina Grant,Valencia,midfielder,51,39
New Zealand,Michelle Brown,Hawke's Bay United,midfielder,56,52
Seychelles,Aaron Mcknight,Northern Dynamo,forward,74,31
Sri Lanka,Morgan Crawford,Java Lane,midfielder,55,26
Laos,Kimberly Erickson,Chanthabouly,defender,74,26
Sudan,Sandra Bartlett,Al Shorta,defender,75,31
Solomon Islands,Jessica Matthews,Laugu United,forward,62,110
Greece,Richard Coleman,OFI Crete,goalkeeper,76,-29
Zimbabwe,Natalie Marshall,Manica Diamonds,midfielder,64,6
Korea (North),Jonathan Edwards,Kigwancha,forward,59,77
Mongolia,Ashley Wilkins,Khoromkhon,midfielder,55,17
Bulgaria,Terrance Miller,Ludogorets,defender,62,74
Sao Tome and Principe,Jordan Williams,FC Neves,defender,53,59
Liechtenstein,Anthony Baker,Triesenberg,defender,69,45
Morocco,Katie Mitchell,AS FAR,goalkeeper,64,-46
Singapore,Luis Perry,Albirex Niigata (S),midfielder,69,26
Malaysia,Steven Garcia,Sabah,forward,65,105
Samoa,Melinda Hoffman,Kiwi FC,goalkeeper,61,-26
Belgium,Laura Trujillo,Gent,goalkeeper,56,-9
Nauru,Andrew Allen,Meneng,goalkeeper,59,-50
Turkey,Daniel Berg,Basaksehir,goalkeeper,69,-41
Dominican Republic,Scott Jones,Jarabacoa FC,forward,61,60
Qatar,William Moore,Al Arabi,defender,69,79
Turkmenistan,Lisa Little,Energetik,defender,50,64
Egypt,Christopher Alvarez,Zamalek,goalkeeper,46,-50
Tuvalu,David Schroeder,Tofaga,goalkeeper,39,-62
Botswana,Jonathan Jones,Orapa United,defender,53,58
Kiribati,Cody Morgan,Betio,goalkeeper,88,-54
Fiji,Jeremy Lopez,Navua FC,goalkeeper,54,-30
Cameroon,Kimberly Fowler,Canon Yaounde,goalkeeper,65,-37
Sri Lanka,Rachel Hoover,Defenders,goalkeeper,59,-49
Russia,Michelle Hinton,CSKA Moscow,defender,55,84
Bangladesh,Courtney Anderson,Abahani Dhaka,forward,77,30
Vietnam,April Sanders,Viettel,defender,55,44
Myanmar,Denise Nelson,Yadanarbon,goalkeeper,62,-45
United States,Audrey Fisher,New York City FC,goalkeeper,48,-51
Eswatini,Courtney Carroll,Young Buffaloes,goalkeeper,57,-5
Hungary,Elizabeth Jenkins,Kisvarda,forward,89,28
Central African Republic,Matthew Miller,Olympic Real,midfielder,68,58
Laos,Louis Miller,Savannakhet,goalkeeper,81,-60
Afghanistan,Jessica Long,Simorgh Alborz,forward,52,66
Argentina,Matthew Washington,Boca Juniors,forward,65,55
San Marino,Brianna Young,Folgoro,defender,57,68
Myanmar,Troy Sandoval,Shan United,midfielder,66,78
Serbia,Megan Wade,Cukaricki,midfielder,69,44
Egypt,Omar Lawson,Ismaily,midfielder,77,1
Turkmenistan,Gabriella Taylor,Altyn Asyr,forward,56,25
Cambodia,Samuel Austin,Kirivong Sok Sen Chey,midfielder,51,17
Uruguay,Denise Robinson,Danubio,forward,73,26
Mozambique,Antonio Ingram,UD Songo,forward,74,58
Belarus,Adam Walters,Isloch,midfielder,68,58
China,Susan Hansen,Wuhan Three Towns,goalkeeper,53,-42
Saint Kitts and Nevis,Lisa Nicholson,Conaree FC,forward,52,57
Timor-Leste,Erin Barron,Karketu Dili,defender,56,24
Slovakia,Betty Martinez,Ruzomberok,defender,77,36
Madagascar,Raymond Miller,Ajesaia,midfielder,74,42
Greece,Cynthia Aguirre,PAOK,defender,87,67
Maldives,Joshua French,New Radiant,goalkeeper,64,-64
Antigua and Barbuda,Shane Alvarez,Grenades FC,forward,60,61
Poland,Sarah White,Pogon Szczecin,forward,75,39
Peru,Michael Jones,Cienciano,forward,75,57
Russia,Ronnie White,Rostov,defender,41,13
Egypt,Madison Jones,Ismaily,goalkeeper,70,-87
Switzerland,William Mills,Basel,forward,40,32
Saint Kitts and Nevis,Mark Hanson,Village Superstars,forward,50,61
San Marino,Michelle Buck,Libertas,midfielder,59,42
Palau,Kevin Harrison,New Stars,forward,59,35
Nicaragua,John Walker,Diriangen,defender,51,75
Lebanon,Drew Wright,Shabab Sahel,midfielder,58,50
Belgium,Melissa Allen,Club Brugge,defender,42,94
Cuba,Jim Zimmerman,FC Guantanamo,goalkeeper,61,-49
Georgia,Kathleen Gillespie,Dila Gori,midfielder,52,54
Tunisia,Kerry Smith,Esperance,defender,66,49
Bulgaria,John Morris,Cherno More,forward,67,11
Belgium,Jonathan Cuevas,Club Brugge,forward,66,38
Canada,Sharon Sutton,Pacific FC,defender,50,77
Moldova,Haley Spencer,Dinamo-Auto,forward,63,48
Guatemala,Cody Rogers,Guastatoya,goalkeeper,59,-46
Bolivia,Bradley Bowman,Royal Pari,forward,56,92
Suriname,Jessica Peterson,SNL,midfielder,36,101
Uruguay,Dr. Ralph Hughes Jr.,River Plate Montevideo,defender,38,53
Gabon,David Jordan,Cercle Mbéri Sportif,goalkeeper,49,-22
Liechtenstein,Robert Sullivan DVM,Eschen/Mauren,midfielder,86,30
Iraq,Misty Clark,Al Shorta,defender,62,45
Bosnia and Herzegovina,Jesus Anderson,Sarajevo,defender,57,23
