Country,Name,Club,Position,Games,Goals
Iraq,Daniel Fowler,Al Zawraa,midfielder,69,24
Botswana,Brian Perry,Mochudi Centre Chiefs,forward,59,36
Ukraine,Leslie Wu,Shakhtar Donetsk,forward,54,64
Bahrain,Joseph Greene,Manama Club,goalkeeper,74,-76
Belize,Linda Ware,Placencia Assassins,midfielder,74,34
Romania,Gregory Woods,FCSB,defender,56,68
Djibouti,Diane Stewart,AS Arta/Solar7,defender,43,82
India,Diana Armstrong,Kerala Blasters,defender,70,27
Oman,Sharon Rodriguez,Sohar,goalkeeper,63,-67
Iraq,Mr. Chad Webster,Al Najaf,forward,74,16
Guatemala,Kevin Johnston,Xelaju,goalkeeper,77,-41
Switzerland,Sarah Ball,Young Boys,goalkeeper,78,-52
Serbia,Theresa Hampton,Cukaricki,goalkeeper,77,-47
Malawi,Kathryn Moore,Silver Strikers,forward,84,27
Vanuatu,Tanner Harding,Shepherds United,goalkeeper,39,-2
Papua New Guinea,Anna Mclean,Morobe Wawens,goalkeeper,59,-5
Slovenia,David Pacheco,Bravo,defender,63,33
Marshall Islands,Pamela Greene,Laura FC,goalkeeper,58,-67
Malawi,Marilyn Baker,Karonga United,defender,77,42
Maldives,Andrea Miller,TC Sports,midfielder,71,50
Marshall Islands,Michael Kennedy,Kwajalein FC,midfielder,54,58
Zimbabwe,Miranda Callahan,Chicken Inn,goalkeeper,50,-52
Belarus,Christopher Lawson,Slutsk,forward,64,32
Syria,Jeffrey Francis,Al Futowa,forward,67,105
Eswatini,Timothy Fischer,Mbabane Swallows,defender,75,63
Eswatini,Michael Perry,Young Buffaloes,forward,37,45
Angola,Andrea Hinton,Interclube,forward,60,90
Serbia,Jack Cox,Spartak Subotica,defender,35,35
Albania,Ryan Rojas,KF Tirana,midfielder,59,14
Syria,Melanie Alvarado,Al Ittihad Aleppo,forward,63,64
Senegal,Carl Estrada DVM,Casa Sport,midfielder,50,66
Argentina,James Espinoza,Racing Club,forward,80,20
Yemen,Ashley Williams,Al Saqr,goalkeeper,42,-85
Guatemala,Haley Martinez,Comunicaciones,midfielder,65,37
Iran,Victoria Mcfarland MD,Gol Gohar,midfielder,76,59
Italy,Marie Villanueva,Fiorentina,goalkeeper,58,-5
Comoros,Renee Lee,US Zilimadjou,midfielder,58,52
Saint Lucia,Taylor Schultz,Anse La Raye,forward,64,67
Costa Rica,Robert Hanson,San Carlos,goalkeeper,60,-52
Bosnia and Herzegovina,Christopher Rangel,Velez Mostar,goalkeeper,67,-55
Belgium,Curtis Hayes,Standard Liege,midfielder,47,44
Zimbabwe,Carla Hernandez,Manica Diamonds,midfielder,42,16
Chad,Joseph Williams,Gazelle FC,defender,59,73
Antigua and Barbuda,John Harvey,Grenades FC,defender,59,38
Sudan,Chelsea Cooper,Al Merreikh,goalkeeper,33,-12
Brazil,Ashley Bush,Sao Paulo,midfielder,61,51
Turkmenistan,Richard Hamilton,Energetik,defender,38,61
Syria,Cindy Green,Al Wahda,defender,77,30
Georgia,Tara Williams,Torpedo Kutaisi,midfielder,69,42
Morocco,Scott Jackson,AS FAR,midfielder,86,60
Trinidad and Tobago,Kevin Smith,Defence Force,midfielder,58,27
Tonga,Traci Conley,Navutoka,forward,76,76
Equatorial Guinea,Tonya Herrera,Atletico Semu,goalkeeper,67,-42
Maldives,Kathleen Johnson,TC Sports,defender,59,16
Croatia,Jacob Butler DVM,Slaven Belupo,forward,56,75
Argentina,Erica Reed,Racing Club,forward,47,69
Nigeria,David Thompson,Enyimba,forward,54,32
Mexico,Cynthia Jones,Guadalajara,defender,48,35
Afghanistan,Dennis Wilson,Kabul United,midfielder,82,61
Brazil,Katherine White,Atletico Mineiro,midfielder,51,45
Oman,Rebecca Trujillo,Al Suwaiq,midfielder,62,77
Iraq,Sandra Fischer,Al Shorta,midfielder,71,19
Monaco,Courtney Kane,Roca Team,midfielder,53,57
Croatia,Dwayne Johnson,Slaven Belupo,goalkeeper,31,-64
Brazil,David Norris,Palmeiras,defender,86,24
Mali,Jennifer Schwartz,Stade Malien,defender,60,62
Kuwait,Charlotte Martinez,Al Arabi,forward,73,43
Benin,Keith Soto,AS Cotonou,defender,72,65
Qatar,Colleen Jacobs,Al Rayyan,midfielder,68,16
Thailand,Kenneth May,Port,forward,55,45
Cambodia,Eileen Hayes,Soltilo Angkor,midfielder,62,74
Seychelles,Jillian Gordon MD,St Louis Suns United,midfielder,57,18
United Arab Emirates,Erica Lynch,Al Nasr,goalkeeper,64,-95
Greece,Bobby Harper,OFI Crete,midfielder,41,54
Burundi,Gregory Mccormick,Vital'O,defender,59,67
New Zealand,Laura Green,Waitakere United,goalkeeper,53,-54
Luxembourg,Jeffrey Pugh,Progres Niederkorn,midfielder,48,31
Israel,Brett Thomas,Beitar Jerusalem,forward,67,13
Belarus,Brandon Martinez,Neman Grodno,forward,51,21
Gambia,Brittany Vazquez,Wallidan,defender,56,52
Bolivia,Lisa Thomas,Nacional Potosi,defender,59,46
Canada,Cassie Weber,Forge FC,defender,54,29
Serbia,Nicole Johnson,Mladost Lucani,forward,66,43
Papua New Guinea,Christopher Calderon MD,Morobe Wawens,goalkeeper,57,-16
Poland,Benjamin Boyle,Legia Warsaw,forward,64,77
Panama,Laura Fox,San Francisco,goalkeeper,61,-48
Cyprus,Brandon Murphy,AEK Larnaca,forward,70,78
Ecuador,Don Henson,Universidad Catolica,goalkeeper,56,-13
Djibouti,Mr. Matthew Chung MD,Equipe Nationale,midfielder,62,62
Bahamas,Tonya Cantrell,Dynamos FC,goalkeeper,52,-37
Sudan,Donna Valencia,Al Amal Atbara,defender,67,68
Tuvalu,Theresa Williams,Nauti,forward,60,54
United Arab Emirates,James Davis,Al Nasr,goalkeeper,56,-27
Trinidad and Tobago,Tracy Parker,Point Fortin Civic,goalkeeper,54,-49
Cape Verde,Jordan Vance,Fogo 1876,defender,61,34
Peru,Mr. Chad Ward,Sport Huancayo,forward,64,52
Guatemala,Ricardo Carr,Municipal,midfielder,65,76
Czech Republic,Samuel Cruz,Jablonec,midfielder,67,75
Dominica,Derek Norton,Bath Estate,goalkeeper,46,-45
Slovenia,Sheryl Miller,Celje,midfielder,49,44
Yemen,Sandra Porter,Al Shaab Ibb,midfielder,50,37
Suriname,Danielle Bell,Transvaal,midfielder,52,32
Ecuador,Brandy Porter,Delfin,goalkeeper,65,-45
Yemen,Timothy Donovan,Al Ahli Sanaa,defender,64,30
Iceland,Dr. Michele Herrera,FH,forward,75,40
Yemen,Mitchell Arias,Al Shaab Ibb,midfielder,69,71
Russia,Brittney Ortiz,Zenit,goalkeeper,70,-35
Belarus,Elizabeth Schneider,Dinamo Minsk,goalkeeper,56,-74
Niger,Steven Torres,Olympic Niamey,midfielder,62,42
Ukraine,Christopher James,Shakhtar Donetsk,defender,65,61
Czech Republic,Robert Heath MD,Viktoria Plzen,forward,59,74
Belize,Edgar Farrell,Police United,defender,75,83
Thailand,Amanda Gentry,Nakhon Ratchasima,forward,51,65
Andorra,Andrew Lewis,UE Engordany,goalkeeper,64,-14
Iran,Mason Grant,Persepolis,forward,68,34
Ghana,Jesse White,Bechem United,goalkeeper,49,-59
Brunei,Lisa Nelson,Tabuan Muda,goalkeeper,74,-80
Guinea,Jerry Zhang,Wakriya,forward,77,56
Saudi Arabia,Matthew Estrada,Al Ittihad,midfielder,59,46
South Africa,Erik Montgomery,Orlando Pirates,defender,57,75
Oman,William Barnett,Al Nasr,forward,55,34
Croatia,Amy Lawrence,Lokomotiva,goalkeeper,59,-21
Burundi,Lisa Miller,Olympic Star,goalkeeper,49,-79
Togo,Nicole Brown,Semassi,midfielder,76,19
Tajikistan,Judith Miller,Istiklol,goalkeeper,52,-1
Palau,Christopher Perkins,Team Friendship,midfielder,32,53
Solomon Islands,Alexis Herrera,Henderson Eels,midfielder,72,4
Finland,Mark Williams,Honka,midfielder,87,74
Eritrea,Samantha Cobb MD,Al-Tahrir,goalkeeper,85,-74
Israel,John Jordan,Beitar Jerusalem,forward,66,70
Tuvalu,Chelsea Li,Funafuti,midfielder,46,44
San Marino,Tracy Blair,Murata,defender,53,56
Finland,Kimberly Zhang,KuPS,forward,69,36
Kazakhstan,Shannon Taylor,Kairat,goalkeeper,62,-39
Bolivia,Daniel Davis,Always Ready,midfielder,70,83
Cameroon,Gabriela Torres,Stade Renard,forward,68,61
Czech Republic,Casey Smith,Slavia Prague,forward,69,25
Laos,Susan Mejia,Chanthabouly,goalkeeper,53,-62
Argentina,Nicholas Martinez,Estudiantes,defender,72,93
Guinea,Maria Chambers,Fello Star,defender,51,91
Eritrea,Brittany Hooper,Geza Banda,midfielder,44,98
France,Christopher Hernandez,Marseille,midfielder,64,31
