Country,Name,Club,Position,Games,Goals
Italy,Philip Miller,Inter Milan,defender,69,57
Denmark,James Gutierrez,Randers,defender,60,34
Benin,Andrew Smith,Ayema FC,forward,53,63
Iceland,Yvonne Smith,Breidablik,goalkeeper,63,-34
Finland,Sarah Armstrong,KuPS,defender,47,54
Rwanda,Adriana Owen,Bugesera,midfielder,53,22
Czech Republic,Jesse Strickland,Jablonec,forward,67,8
Iceland,Taylor Hughes,Valur,midfielder,65,37
Austria,Jeffrey Moore,Red Bull Salzburg,midfielder,56,74
Azerbaijan,Christina Bennett,Gabala,goalkeeper,60,-58
Madagascar,Charles Wilson,ASJ Analamanga,forward,43,22
Jamaica,John Watkins,Waterhouse,goalkeeper,59,-23
Eswatini,Todd Lopez,Manzini Wanderers,goalkeeper,73,-24
Kazakhstan,Chad Smith,Kyzylzhar,goalkeeper,66,-39
Azerbaijan,Daniel Nunez,Qarabag,goalkeeper,52,-1
Angola,Joshua Lee,Sagrada Esperanca,forward,70,19
Uruguay,Timothy Shelton,Cerro,defender,66,90
United Arab Emirates,Rachel Wright,Al Nasr,midfielder,55,11
Morocco,Dan Barajas,Hassania Agadir,forward,42,80
Malta,Sharon Gibbs,Valletta,midfielder,59,59
Uzbekistan,Zachary Wyatt,Nasaf,defender,35,48
Belize,Amber Crane,Belmopan Bandits,midfielder,74,69
Saint Lucia,Debbie Wilson,VSADC,midfielder,37,38
Brunei,Casey Davis,Tabuan Muda,defender,71,62
Dominica,Nicole Duffy,Kubuli Strikers,midfielder,62,31
Vietnam,Adrienne Ashley,Thanh Hoa,goalkeeper,48,-51
Togo,Sergio Blake,Gbikinti,defender,70,58
Samoa,Ronald Martinez,Kiwi FC,goalkeeper,46,-41
Cambodia,Valerie Turner,Visakha,defender,53,66
Oman,Craig Chavez,Al Nahda,midfielder,65,1
Suriname,Kimberly Jones,Inter Moengotapoe,midfielder,69,32
Slovenia,Amanda Ward,Olimpija Ljubljana,midfielder,59,24
Qatar,Heather Porter,Qatar SC,defender,73,47
Egypt,Abigail Ashley,ENPPI,forward,59,36
Saint Kitts and Nevis,Nina Mccullough,Garden Hotspurs,midfielder,61,53
Tunisia,Jessica Branch,Club Africain,goalkeeper,55,-62
Sri Lanka,Amy Brown,Defenders,forward,75,47
Palau,Catherine Lindsey,Lyon FC,forward,47,35
Zambia,Jennifer Short,Kabwe Warriors,defender,56,55
Sierra Leone,Kimberly Lam,FC Johansen,defender,49,60
Korea (South),Brittany Mitchell,Ulsan Hyundai,midfielder,60,66
Poland,Terri Thompson,Legia Warsaw,goalkeeper,81,-67
Mexico,Jordan Davis,Leon,forward,65,54
Senegal,Michelle Garcia,ASC Linguere,goalkeeper,65,-40
San Marino,Anthony Johnson,Libertas,midfielder,75,29
Bahamas,Shari Thompson,Western Warriors,defender,70,89
Kazakhstan,Brian Washington,Astana,goalkeeper,73,-45
Nigeria,Bruce Jones,Lobi Stars,forward,60,29
United Kingdom,Dale Johnson,Tottenham,midfielder,73,39
Mexico,Jonathon Moore,Cruz Azul,defender,37,54
Cambodia,Amy Hayes,Visakha,goalkeeper,58,-90
Norway,Jacqueline Page,Brann,forward,53,72
United States,Alicia Lee,Portland Timbers,forward,71,47
Australia,James Dominguez,Western Sydney,goalkeeper,52,-6
Afghanistan,Terry Campbell,De Spinghar Bazan,midfielder,51,10
Libya,Emily Martin,Al Ittihad,defender,66,55
North Macedonia,Dana Williams,Struga,goalkeeper,49,-19
Kiribati,Peter Ruiz,Bairiki,midfielder,67,81
Samoa,Amanda Butler,Togafuafua,goalkeeper,80,-73
Liberia,Daniel Rodgers,LISCR,forward,57,65
Kazakhstan,Scott Simmons,Shakhter Karagandy,midfielder,60,39
Peru,Anthony Jones,Sporting Cristal,midfielder,46,1
Iceland,Raymond Kelley,Breidablik,midfielder,75,26
Suriname,Ian Chang,Leo Victor,midfielder,61,35
Albania,Jacob Huynh,Vllaznia,defender,24,51
Afghanistan,Stephanie Williams,Afghan FC,midfielder,39,32
Sweden,Felicia Collier,Hammarby,defender,54,49
Niger,Donna Hahn,Sahel SC,forward,59,65
Iran,Steven Guerrero,Esteghlal,forward,49,59
Belgium,Gina Carr,Anderlecht,goalkeeper,65,-89
Hungary,Richard Kim,Puskas Akademia,goalkeeper,43,-50
Romania,Catherine Moore,FCSB,forward,68,20
Ecuador,Sydney Morgan,Aucas,defender,37,82
Serbia,Jenna Williams,Red Star Belgrade,forward,47,49
Sao Tome and Principe,Stephanie Smith,6 de Setembro,midfielder,61,41
Austria,Brittany Frost DDS,Wolfsberger,goalkeeper,52,-24
Barbados,Jennifer Hahn,UWI Blackbirds,goalkeeper,54,-43
Kyrgyzstan,Jessica Rojas,Kara-Balta,goalkeeper,59,-58
Yemen,Michael Flores,Al Wahda Aden,midfielder,66,89
Malta,Valerie Duran,Hamrun Spartans,goalkeeper,40,-65
Timor-Leste,Natalie Mora,Karketu Dili,midfielder,65,8
United Arab Emirates,Zachary Dawson,Al Ain,forward,42,35
Benin,Janice Cruz,Buffles du Borgou,forward,60,20
United Arab Emirates,Elizabeth Burton,Al Jazira,goalkeeper,50,-14
Kenya,Ryan Ortega,Tusker,midfielder,50,35
Guinea,Curtis Lewis,Hafia,defender,37,19
Malaysia,Pamela Chambers,Kuala Lumpur City,goalkeeper,46,-20
Germany,Jason Mitchell,Wolfsburg,goalkeeper,57,-75
Maldives,Alyssa Leblanc,United Victory,goalkeeper,74,-42
Saint Kitts and Nevis,Robert Newton,SPD United,goalkeeper,75,-53
Spain,Glenn Thornton,Villarreal,midfielder,49,55
Norway,Michael Mosley,Bodo/Glimt,defender,46,22
Saudi Arabia,Scott Rocha,Al Ahli,midfielder,42,58
Djibouti,Valerie Jackson,Equipe Nationale,goalkeeper,54,-55
Vanuatu,Joshua Lang,Shepherds United,midfielder,51,90
Nauru,Patrick Wood,Meneng,defender,66,32
Sierra Leone,Penny Clark,Ports Authority,defender,69,62
Sao Tome and Principe,Nicole Johnson,Sporting Praia Cruz,defender,75,28
Cape Verde,Monique Campbell,Sporting Praia,goalkeeper,64,-33
Germany,Matthew Davis,Wolfsburg,goalkeeper,68,-37
Brunei,David Woods,Wijaya FC,midfielder,48,65
Hungary,Katie Bishop,Kisvarda,defender,62,126
Comoros,Ashley Bennett,Steal Nouvel,goalkeeper,68,-31
Gabon,Kevin Matthews,Sogea FC,midfielder,71,92
Norway,Stephen Brown,Molde,midfielder,42,74
Romania,Alexandra Caldwell,Rapid Bucuresti,midfielder,71,76
Vietnam,Holly Montgomery,Viettel,goalkeeper,48,-15
Samoa,Mia Rodriguez,Vaivase-tai,midfielder,64,66
Saint Kitts and Nevis,Olivia Lopez,SPD United,goalkeeper,59,-41
Uganda,James Moore,URA,defender,68,59
Estonia,Rick Evans,Tammeka Tartu,defender,63,41
Korea (South),Anna Herrera,Jeonbuk Hyundai,forward,68,22
Uganda,Kara Miller,BUL,forward,77,51
Poland,Brianna Bryant,Lechia Gdansk,goalkeeper,77,-74
South Sudan,David Gonzalez,Al Merreikh Juba,defender,56,45
Ghana,Alyssa Sherman,Ashanti Gold,goalkeeper,65,-18
Latvia,Pamela Gonzalez,Ventspils,goalkeeper,62,-79
Chad,Karina Rodriguez,AS Moundou,goalkeeper,67,-22
Maldives,Monique Alvarez,Maziya,midfielder,38,47
Mauritius,Katherine Poole,La Cure,midfielder,80,78
Papua New Guinea,Margaret Church,Lae City,midfielder,48,1
Czech Republic,April Carter MD,Viktoria Plzen,midfielder,55,7
Switzerland,Belinda Nelson,Basel,goalkeeper,45,-54
Suriname,Lucas Hernandez,Leo Victor,midfielder,49,50
Samoa,Todd Cole,Lepea,defender,63,42
Netherlands,Mr. Nicholas Cortez,FC Utrecht,goalkeeper,45,-46
Sweden,Lorraine Henderson,Malmo FF,forward,38,65
Samoa,Daniel Livingston,Moataa,goalkeeper,51,-25
Burundi,Ronald Hall,Vital'O,defender,68,75
Senegal,Ryan Johns,US Goree,forward,60,37
Seychelles,Sierra Sandoval,St Michel United,forward,45,56
Vietnam,William Smith,Viettel,forward,54,30
Kyrgyzstan,Leon Orozco,Alay Osh,midfielder,47,63
Angola,Mary Stevenson,Interclube,forward,61,68
Cape Verde,Michelle Miller,Sporting Praia,goalkeeper,34,-54
North Macedonia,Mariah Sanchez,Struga,forward,66,85
Panama,James Sosa,Arabe Unido,forward,73,114
Belarus,Isabel Clark,Torpedo Zhodino,midfielder,64,12
Georgia,Eugene Wong,Torpedo Kutaisi,goalkeeper,52,-55
Micronesia,Kristin Martinez,Kosrae,defender,80,47
Micronesia,Christina Russell,Nukuoro,defender,89,106
Nicaragua,Hannah Strickland,ART Municipal Jalapa,midfielder,34,85
Suriname,Alison Hull,Inter Moengotapoe,midfielder,57,61
Iraq,Andre Weaver,Al Shorta,forward,84,15
Algeria,Elizabeth Vaughn,CS Constantine,goalkeeper,56,-53
Iraq,Curtis Decker,Al Najaf,defender,61,30
Antigua and Barbuda,Justin Oconnell,Hoppers FC,defender,58,34
Slovakia,Sean Garcia,Trencin,goalkeeper,61,-84
Sri Lanka,Molly Richardson,Defenders,midfielder,65,50
Egypt,Jason Johnson,Al Masry,goalkeeper,61,-37
Netherlands,Tamara Clements MD,PSV,defender,79,8
Eritrea,Jennifer Schultz,Hamasien,goalkeeper,72,-58
Fiji,Thomas Kennedy,Suva FC,defender,68,46
Cambodia,David Washington,Boeung Ket,defender,79,56
Rwanda,Dean Harrington,Gasogi United,midfielder,69,55
Netherlands,Tammy Pratt,AZ Alkmaar,midfielder,65,67
Gabon,Cassie Harrell,Missile FC,midfielder,65,57
Antigua and Barbuda,Cameron Hernandez,Five Islands FC,goalkeeper,63,-70
Jamaica,Kristina Jackson,Arnett Gardens,midfielder,46,9
Myanmar,Marvin Huang,Ayeyawady United,goalkeeper,61,-69
Chile,Michael Macias,Union Espanola,defender,61,63
Turkmenistan,Tammy Gomez,Ahal,defender,63,37
Senegal,Donald Haynes,Generation Foot,forward,48,35
Tonga,Ashley Evans,Ngele'ia,forward,58,24
Algeria,Sandra Bradley,CR Belouizdad,forward,55,62
Bosnia and Herzegovina,Lynn Smith,Borac Banja Luka,goalkeeper,82,-48
Russia,Brian Ponce,Spartak Moscow,forward,65,68
El Salvador,Jennifer Mckay,Platense,defender,75,34
Algeria,Andre Lopez,CS Constantine,goalkeeper,35,-41
Laos,Jay Valenzuela,Vientiane FC,defender,47,94
Cameroon,Lisa Thomas PhD,Cotonsport,midfielder,55,54
Guatemala,Tamara Lawrence,Guastatoya,defender,59,49
Korea (North),Brandon Marshall,Rimyongsu,midfielder,67,72
Algeria,Jacqueline Flynn,USM Alger,defender,64,54
Micronesia,Robert Villarreal,Pohnpei,forward,44,57
Peru,Christopher Love,Sporting Cristal,goalkeeper,58,-69
Uganda,Ernest Castaneda,Onduparaka,forward,41,27
Belize,Erica Perry,Police United,forward,53,43
Kuwait,John Rose,Al Kuwait,defender,75,63
Maldives,Kimberly Lane,New Radiant,midfielder,43,49
Antigua and Barbuda,James Roberts,Empire FC,defender,73,23
Benin,Meghan Reyes,Buffles du Borgou,forward,35,64
Burkina Faso,Teresa Henderson,Etoile Filante,midfielder,62,62
Turkey,Joseph Wright,Besiktas,forward,54,65
France,Linda Hughes,Lyon,defender,52,39
Panama,Jason Bray,Atletico Chiriqui,defender,64,63
Nigeria,Cameron Willis,Shooting Stars,goalkeeper,78,-9
South Africa,Jennifer Mckinney,Cape Town City,goalkeeper,52,-71
United States,Jessica Walsh,LAFC,midfielder,67,14
Barbados,Hannah Williams,Weymouth Wales,forward,64,75
Congo,Jason Wilcox,AC Leopards,midfielder,58,26
South Africa,Ronald Hernandez,AmaZulu,goalkeeper,35,-101
Belgium,Martin Robertson,Standard Liege,goalkeeper,51,-75
Djibouti,Alexander Floyd,CF Garde Republicaine,midfielder,51,45
Eritrea,Gabriella Cooper,Al-Tahrir,midfielder,60,112
Zambia,Anthony Arellano,Green Buffaloes,defender,51,57
Mali,Lori Stanley MD,Stade Malien,defender,70,28
Vietnam,Cheryl Navarro,Hong Linh Ha Tinh,midfielder,60,72
Antigua and Barbuda,Thomas Phillips,Grenades FC,defender,62,35
Qatar,Carrie Lopez,Al Sadd,goalkeeper,70,-64
Nepal,Calvin Arnold,Sankata,defender,55,57
Mauritius,Jasmin Brooks,Quatre Bornes,midfielder,60,28
Timor-Leste,Keith Barron,DIT FC,midfielder,57,58
Mali,Darryl Saunders,Stade Malien,midfielder,64,65
El Salvador,Jacob Charles,FAS,defender,54,55
Libya,Nicholas Morris,Al Madina,midfielder,64,51
Afghanistan,Michelle Cole,Spin Ghar,defender,31,44
Uruguay,Brenda Fitzgerald,Fenix,forward,63,34
Nicaragua,Gregory Patterson,Managua FC,goalkeeper,60,-63
Myanmar,John Scott,Yangon United,defender,64,31
Bahrain,Robert Hensley,Al-Riffa,defender,50,54
South Africa,Angela Hicks,Cape Town City,forward,54,50
Finland,Dominique Lamb,Ilves,forward,48,50
Tajikistan,Kevin Whitaker,Istiklol,goalkeeper,69,-61
Libya,Jennifer Peters,Al Ittihad,defender,46,61
North Macedonia,Emily Jefferson,Makedonija GP,midfielder,64,48
Estonia,Alison Lynch,Kuressaare,defender,38,1
Tuvalu,William Proctor,Manu Laeva,forward,59,72
Fiji,John Valdez DDS,Navua FC,midfielder,81,92
Gabon,Joseph Banks,Cercle Mbéri Sportif,goalkeeper,53,-91
Burkina Faso,Chad Meyers,ASFA Yennega,midfielder,75,66
Eritrea,Carla Miller,Red Sea FC,goalkeeper,75,-61
Madagascar,Carlos West,DSA Antananarivo,midfielder,54,74
South Africa,Eric Levy,Cape Town City,midfielder,44,52
Armenia,Rhonda Graham,Ararat Yerevan,goalkeeper,77,-27
Guinea,Ashley Miller,Satellite FC,midfielder,70,44
Mauritania,Courtney Pierce,ACS Ksar,midfielder,60,54
Nauru,Randy Smith,Nauru FC,defender,32,54
Trinidad and Tobago,Miguel Cardenas,Defence Force,goalkeeper,49,-36
Eswatini,Raven Mullins,Milling Hotspurs,goalkeeper,60,-54
Georgia,Amy Garcia,Dinamo Batumi,goalkeeper,58,-88
Vietnam,Kenneth Sparks,Binh Duong,forward,50,33
Benin,John Henderson,AS Cotonou,midfielder,74,10
Vanuatu,Anita Duran,Tafea,forward,56,67
India,Tanya Harrison,ATK Mohun Bagan,midfielder,77,59
Peru,Paula Hughes,Sport Huancayo,defender,63,17
Belgium,Paul Perez,Genk,defender,58,50
Senegal,Kevin Brennan,ASC Linguere,midfielder,61,51
Mozambique,Peggy Kirby,Ferroviario Maputo,forward,35,66
Norway,Harry Wiley,Molde,forward,62,15
Ukraine,Kayla Guerrero MD,Rukh Lviv,defender,66,55
Colombia,John Nunez,Santa Fe,defender,47,59
Romania,Kaitlyn Li,Universitatea Craiova,defender,64,61
Bulgaria,John Huber,Ludogorets,forward,44,45
Mongolia,Amanda Ramirez,SP Falcons,defender,70,52
Tuvalu,John Dennis,Manu Laeva,midfielder,65,36
Morocco,William Wells,Moghreb Tetouan,goalkeeper,59,-32
Nigeria,April Doyle,Akwa United,defender,52,47
Central African Republic,Melvin Scott,Anges de Fatima,goalkeeper,53,-13
Brazil,William Johnston,Corinthians,midfielder,57,52
Spain,Bonnie Kane DDS,Barcelona,goalkeeper,63,-1
Guyana,Gary Hunter,Slingerz FC,goalkeeper,50,-71
Spain,Amanda Franklin,Real Madrid,forward,65,57
Malta,Dustin Conley,Gzira United,defender,53,60
Belgium,Jason Atkinson,Gent,forward,68,65
Morocco,Elizabeth Gonzalez,Hassania Agadir,forward,56,53
Cambodia,Micheal Gordon,Phnom Penh Crown,midfielder,60,32
Philippines,Matthew Smith,Dynamic Herb Cebu,forward,61,30
