Country,Name,Club,Position,Games,Goals
Burundi,Laura Meyer,Musongati FC,midfielder,59,63
Iran,Lucas Williams,Persepolis,goalkeeper,49,-48
Zambia,Lisa Davis,Green Buffaloes,goalkeeper,61,-27
Sierra Leone,Benjamin Harper,Bo Rangers,defender,67,39
Angola,Hunter Mitchell,Interclube,forward,57,46
Portugal,Dr. Brandon Jackson,Porto,forward,60,73
Iran,Robert Vazquez,Esteghlal,forward,72,36
Switzerland,Courtney Peters,Lugano,forward,73,102
United Arab Emirates,Katie Blackwell,Al Wasl,forward,63,51
Suriname,Christine Melendez,Transvaal,forward,88,62
Cyprus,Amanda Kim,Pafos FC,forward,58,46
Azerbaijan,Mrs. Caitlin Little MD,Gabala,goalkeeper,46,-85
Philippines,Kevin Ballard,Dynamic Herb Cebu,midfielder,58,31
Grenada,Kevin Gilmore,Fontenoy United,goalkeeper,77,-75
Guinea-Bissau,Melissa Moore,Estrela Negra,forward,50,55
Japan,Scott Hatfield,Kawasaki Frontale,defender,73,9
Pakistan,Geoffrey Freeman,Pakistan Air Force,forward,62,75
Tunisia,Susan Jones,US Monastir,midfielder,40,86
San Marino,Christopher Moore,Folgoro,defender,47,1
Cyprus,Michelle Griffin,APOEL,goalkeeper,56,-19
Dominica,Ashley Kane,Segments FC,goalkeeper,73,-50
India,Derrick Collins,Chennaiyin FC,defender,52,39
Greece,Jessica Mcclain,Aris,goalkeeper,44,-31
Saint Lucia,Jessica Davis,VSADC,defender,67,12
Cambodia,Jillian Perez,Soltilo Angkor,goalkeeper,77,-39
Morocco,Erica Potts,Wydad Casablanca,midfielder,55,67
Qatar,Charles Hurley,Qatar SC,defender,43,68
Belarus,Timothy Thompson,Slutsk,goalkeeper,60,-36
Bulgaria,Chad Hayes,Cherno More,goalkeeper,64,-35
Tonga,Jennifer Dominguez,Ha'apai,forward,73,43
Eritrea,Andrea Meyer,Hamasien,midfielder,66,78
Tunisia,Matthew Peters,CS Sfaxien,defender,74,49
Bahrain,Lawrence White,Manama Club,defender,41,100
Niger,John Hernandez,ASFAN,defender,79,65
Solomon Islands,Rebecca Wells,Real Kakamora,goalkeeper,42,-81
Moldova,Mike Johnson,Sheriff Tiraspol,defender,76,44
Libya,Chad Harris,Al Madina,defender,61,49
Belarus,Philip Torres,Slutsk,midfielder,63,66
Croatia,Christopher Bell,Gorica,defender,59,95
Sao Tome and Principe,James Long,Sporting Praia Cruz,midfielder,57,51
Burundi,Joseph White,Kayanza United,forward,75,31
Qatar,Melvin Brooks,Al Duhail,forward,37,47
Guatemala,Scott Griffin,Malacateco,defender,50,1
Belize,Jamie King,San Pedro Pirates,goalkeeper,78,-45
Turkmenistan,Tiffany Calderon,Ahal,forward,62,82
Iran,Taylor Peterson,Sepahan,forward,46,41
Vietnam,Jason Mcdonald,Hanoi FC,forward,75,46
Montenegro,Stephanie Young,Sutjeska,goalkeeper,33,-75
Slovakia,Gary Ford,Slovan Bratislava,goalkeeper,76,-76
Norway,Gloria Cortez,Brann,goalkeeper,49,-77
Colombia,Alexander Williams,Atletico Nacional,midfielder,49,32
Japan,Michael Wheeler,Kashima Antlers,forward,62,53
Hungary,Lauren Williams,Debrecen,defender,62,52
San Marino,William Chang,Pennarossa,defender,57,54
France,Christopher Cannon,Lille,defender,51,95
Algeria,Adam Pierce,MC Alger,goalkeeper,54,-15
Malaysia,Sarah Flores,Sabah,midfielder,64,7
France,Bradley Garcia,Monaco,defender,57,88
Sri Lanka,Natalie Hensley,Defenders,goalkeeper,49,-29
Turkmenistan,Brandon Russell,Altyn Asyr,defender,59,62
Uzbekistan,Jessica Schneider,AGMK,forward,74,62
Mongolia,Christina Hanna,SP Falcons,forward,56,76
Iran,Kristen Patel,Tractor,goalkeeper,59,-60
Egypt,Joseph Hines,Al Ahly,defender,64,60
Philippines,Daniel Diaz,United City,goalkeeper,38,-53
Ukraine,Justin Owens,Shakhtar Donetsk,defender,67,51
Azerbaijan,Thomas Shaw,Neftchi Baku,forward,60,55
Panama,Joseph Murray,Atletico Chiriqui,goalkeeper,62,-29
Serbia,Betty Anderson,Vojvodina,defender,74,66
United Arab Emirates,Steven Cruz,Al Nasr,midfielder,43,96
Kiribati,William Anderson,Betio,midfielder,55,57
Saint Vincent and the Grenadines,Christopher Ward,System 3,forward,65,25
Timor-Leste,Angela Garza,DIT FC,goalkeeper,56,-57
Suriname,Andrea Brown,Transvaal,defender,61,48
Solomon Islands,Kelly Barr,Kossa,midfielder,69,32
Bhutan,Dr. Andrea Stone,Paro FC,defender,49,59
Saint Vincent and the Grenadines,Matthew Butler,Sion Hill,forward,55,73
Iceland,Gary Swanson,Valur,forward,62,46
Finland,Jeremiah Pace,Inter Turku,forward,75,90
Saint Lucia,Timothy Hall,Gros Islet,midfielder,69,32
Israel,Nathan Cochran,Beitar Jerusalem,defender,65,74
Russia,Lisa Hancock,Dinamo Moscow,forward,42,60
Senegal,John Figueroa,US Goree,forward,48,30
Suriname,Kathy West,Transvaal,goalkeeper,61,-56
Albania,Jennifer Swanson,Teuta Durres,defender,56,2
Cuba,Stacy Smith,FC Santiago,midfielder,27,40
Kiribati,Jamie Ortiz DVM,Tarawa,forward,42,22
Spain,Jodi Johnson,Barcelona,forward,53,11
Indonesia,Daniel Spencer,Persija Jakarta,forward,55,34
India,Gordon Johnson,Bengaluru FC,midfielder,57,49
Burundi,Diane Kirby,Bujumbura City,midfielder,77,37
China,Lisa Johnson,Shanghai Shenhua,forward,58,47
Malta,Dawn Alvarez,Floriana,defender,49,12
Iceland,Michelle Howard MD,Stjarnan,midfielder,69,36
Indonesia,Jermaine Parker,Persib Bandung,defender,66,11
Spain,Leslie Gardner,Real Sociedad,midfielder,61,37
Tonga,Elizabeth Thomas,Kolofo'ou,midfielder,59,6
Estonia,Jacob Becker,Nomme Kalju,defender,51,42
Sri Lanka,Gary Scott,Defenders,defender,64,46
Pakistan,Christine Ponce,Pakistan Army,defender,83,46
Kuwait,Miss Katherine Smith,Kazma,midfielder,54,60
Saint Lucia,Laura Ellison,VSADC,forward,45,61
Honduras,Gregory Becker,Real España,defender,47,61
Cape Verde,Elizabeth Warren,CS Mindelense,goalkeeper,60,-29
Senegal,Maria Hoffman,Casa Sport,defender,65,111
Costa Rica,Robert Burns,Alajuelense,goalkeeper,81,-111
Czech Republic,Daniel Richards,Slavia Prague,forward,54,52
Iceland,Sean Torres,KR Reykjavik,forward,56,84
Dominican Republic,Vanessa Lee,Cibao FC,goalkeeper,53,-50
Haiti,Dr. Zachary White,Racing Club Haitien,midfielder,62,26
Peru,Phyllis Diaz,Alianza Lima,forward,51,46
Iceland,Alexis Contreras,Vikingur Reykjavik,goalkeeper,52,-1
Tonga,Jennifer Blair,Ha'apai,goalkeeper,74,-40
Panama,James Thompson,Independiente,goalkeeper,65,-45
Sierra Leone,Crystal Olson,FC Johansen,defender,68,71
Zimbabwe,Nicole Nichols,Chicken Inn,forward,79,48
Solomon Islands,Dawn Mason,Real Kakamora,midfielder,70,12
Lebanon,Joseph Ross,Al Ansar,midfielder,61,53
Belize,Ronald Cole,San Pedro Pirates,forward,77,50
Saint Kitts and Nevis,Jon Davis,Village Superstars,goalkeeper,71,-67
New Zealand,Angela Sanders,Hawke's Bay United,goalkeeper,54,-37
Guinea,Cindy Mcknight,AS Kaloum,midfielder,42,26
Belarus,Edward Arias,Neman Grodno,midfielder,71,29
Guinea,Teresa Fowler,CI Kamsar,defender,72,108
Niger,April Jenkins,AS GNN,goalkeeper,54,-48
Kyrgyzstan,Lisa Hamilton,Dordoi Bishkek,forward,65,76
Guinea,Susan Evans,Satellite FC,midfielder,68,36
Saint Kitts and Nevis,Courtney Fitzpatrick,Conaree FC,goalkeeper,61,-20
Yemen,Isaac Sanders,Al Shaab Ibb,goalkeeper,50,-66
Belarus,Paul Pineda,Dinamo Minsk,midfielder,64,109
New Zealand,Shelly Brown,Hamilton Wanderers,forward,60,68
Slovakia,Justin Campos,MSK Zilina,defender,48,13
Micronesia,Valerie Lee,Kosrae,forward,58,101
Russia,James Brown,CSKA Moscow,midfielder,51,64
China,Bridget Johnson,Beijing Guoan,goalkeeper,62,-65
Romania,Amanda Warner,Universitatea Craiova,goalkeeper,57,-48
Slovakia,Amanda Smith,Trencin,forward,71,32
Portugal,Kenneth Chandler,Sporting CP,goalkeeper,68,-57
Comoros,Charles Pineda,Coin Nord,midfielder,64,33
Tunisia,Allen Roberts,Club Africain,goalkeeper,54,-1
Albania,David Foley,Vllaznia,forward,39,12
Austria,Jacqueline Lynn,LASK,forward,56,46
Bahamas,Sarah Davis,United FC,defender,53,44
Afghanistan,Charles Wu,De Spinghar Bazan,goalkeeper,56,-24
Malawi,Jesse Wade,Red Lions,forward,66,95
South Africa,Allen Cain,Kaizer Chiefs,midfielder,59,68
Montenegro,Nina Oconnor,Decic,midfielder,75,10
San Marino,Kathy Sanchez,Libertas,midfielder,49,42
Kiribati,Matthew Bean,Makin,midfielder,55,39
Maldives,Joyce Clark,Green Streets,defender,59,29
San Marino,Alexis Tate,Pennarossa,defender,55,49
Mongolia,Jamie Jones,SP Falcons,defender,42,58
Korea (South),Brooke Davis,FC Seoul,goalkeeper,43,-62
Kazakhstan,Mindy James,Shakhter Karagandy,midfielder,56,58
Ukraine,Brian Patel,Dynamo Kyiv,forward,76,48
Cameroon,Shawn Byrd,Bamboutos,midfielder,41,28
Bulgaria,Linda Owens,Arda Kardzhali,defender,73,79
Slovakia,Margaret Francis,Zemplin Michalovce,midfielder,65,1
Uruguay,Christopher Thomas,Cerro,defender,60,1
Central African Republic,Tracy Johnson,Tempete Mocaf,forward,50,75
Lesotho,Nicholas Guerrero,LDF,goalkeeper,71,-24
Paraguay,Morgan Little,Libertad,goalkeeper,68,-87
Zambia,Brenda Stone,Power Dynamos,defender,54,18
Oman,John Scott,Al Suwaiq,forward,52,63
Saint Kitts and Nevis,Cynthia Allen,Village Superstars,defender,48,26
Bangladesh,Emily Gross,Mohammedan SC,forward,44,15
Turkmenistan,Christian Norton,Energetik,forward,72,67
Ireland,Mary Lloyd,Shelbourne,forward,45,25
Luxembourg,Jason Adams,F91 Dudelange,midfielder,52,100
Norway,Leslie Mayo,Lillestrom,goalkeeper,86,-59
Spain,Gregory Perkins,Barcelona,defender,50,39
Panama,James Ramirez,Tauro,midfielder,69,40
Kenya,Rhonda Mendoza,Kariobangi Sharks,goalkeeper,70,-75
Gambia,Jamie Richardson,Real de Banjul,midfielder,52,59
Austria,Matthew Russo,Red Bull Salzburg,midfielder,58,47
Liechtenstein,Michelle Harris,Triesenberg,defender,59,34
Eswatini,Sharon Mcclain,Green Mamba,forward,50,45
Botswana,Caitlin Fields,Extension Gunners,midfielder,30,24
Egypt,Crystal Owens,Pyramids FC,forward,80,1
Uganda,Nicholas Cherry,KCCA,midfielder,75,96
Lithuania,Lisa Diaz,Riteriai,forward,51,32
Bhutan,Thomas Aguilar,High Quality FC,goalkeeper,57,-39
Saint Lucia,Patrick Burke,Gros Islet,midfielder,61,80
Albania,James Perez,Teuta Durres,forward,75,88
Denmark,Wyatt Miller,Viborg,midfielder,72,42
Togo,Katrina Roberts,Maranatha,forward,64,59
Slovakia,Brett Shannon,Zemplin Michalovce,forward,53,58
Tuvalu,Jeremy Chan,Nanumaga,forward,58,74
Hungary,Evelyn Andrade,Ferencvaros,forward,51,68
Honduras,Elizabeth Palmer,Olimpia,defender,45,61
Russia,Terry Rhodes,Lokomotiv Moscow,midfielder,59,49
Korea (South),Katherine Russell,Incheon United,midfielder,40,39
Iran,Chelsea Ramirez,Sepahan,defender,61,19
Luxembourg,Miguel Guerrero,Progres Niederkorn,midfielder,67,90
Israel,Kevin Shelton,Hapoel Tel Aviv,forward,63,44
Saint Lucia,Matthew Davidson,Marchand,forward,59,42
Kiribati,Richard Foster,Tarawa,goalkeeper,56,-1
Andorra,Mary Tanner DDS,Inter Club d'Escaldes,midfielder,51,51
Brunei,Miss Connie Gonzalez,MS ABDB,defender,31,41
Uruguay,Alexander Harris,Fenix,defender,50,23
Guyana,Kimberly Hampton,Western Tigers,goalkeeper,69,-41
Mexico,Jeffrey Farrell,Cruz Azul,forward,54,39
Liechtenstein,Anna Rich,Schaan,defender,41,40
Tunisia,Nicole Perez,Stade Tunisien,midfielder,69,22
Bhutan,Tracey Allison,Thimphu City,forward,53,45
Madagascar,Marcus Rhodes,AS Adema,defender,60,39
Botswana,Mr. Daniel Wolfe,Township Rollers,forward,82,29
Kyrgyzstan,Richard Anderson,Ilbirs Bishkek,forward,69,48
Lithuania,Sandra Contreras,Suduva,goalkeeper,69,-41
Bosnia and Herzegovina,James Barber,Siroki Brijeg,defender,53,44
Russia,Jeffrey Serrano,Zenit,defender,76,30
Belize,Joel Camacho,Police United,forward,65,1
Central African Republic,Tyler Myers,Tempete Mocaf,defender,60,77
Czech Republic,Nathan Johnson,Jablonec,forward,67,46
Nauru,Scott Dougherty,Boe,forward,58,67
Ukraine,Kelsey Lowe,Shakhtar Donetsk,goalkeeper,71,-1
China,Brittney Mcmillan MD,Shanghai Port,defender,62,63
Saudi Arabia,Blake Nelson,Al Hilal,forward,86,70
Montenegro,Raven Larsen,Iskra,defender,60,19
South Africa,Samuel Carroll,Orlando Pirates,goalkeeper,58,-41
Tunisia,Timothy Smith,CA Bizertin,midfielder,62,47
Indonesia,Robert Wallace,Madura United,forward,54,71
Georgia,Christine Mendoza,Saburtalo,midfielder,59,66
Azerbaijan,Sean Giles,Qarabag,forward,59,25
Botswana,Shawn Hogan,Extension Gunners,midfielder,56,96
Malta,Chris Turner,Floriana,goalkeeper,59,-66
Cape Verde,Tammy Miller,Vitoria FC,defender,58,75
Iran,Laurie Lopez,Sepahan,forward,45,35
Azerbaijan,Harry Beck,Sabah,forward,63,50
South Africa,Mary Lam,Cape Town City,defender,48,83
Nigeria,Alexandra Turner,Akwa United,goalkeeper,39,-24
Peru,Beverly Vargas,Cienciano,defender,61,25
Botswana,Barbara Mitchell,Security Systems,goalkeeper,59,-49
Thailand,Kelly Richardson,Buriram United,goalkeeper,53,-32
Senegal,Brandon Doyle,US Goree,forward,58,47
Netherlands,Alyssa Becker,PSV,forward,54,55
Australia,Michelle Leach,Adelaide United,defender,74,54
Guyana,Douglas Lawson,Slingerz FC,forward,69,85
Belarus,Mark Ingram,Isloch,forward,54,12
Monaco,Tony Murphy,AS Monaco,goalkeeper,50,-42
Yemen,Mrs. Nicole Torres,Al Ahli Sanaa,goalkeeper,55,-109
Malawi,Erik Patel,Silver Strikers,midfielder,71,15
Monaco,Ann Garcia,Jeunesse d'Antibes,goalkeeper,41,-41
Monaco,Nicole Torres,AS Monaco,goalkeeper,63,-56
Somalia,Mrs. Jessica Hernandez,Jazeera,goalkeeper,64,-69
Barbados,Jordan Rogers,Weymouth Wales,midfielder,74,41
Peru,Christina Maxwell,Universitario,defender,61,68
Armenia,Sandra Townsend,Alashkert,forward,66,9
Brunei,Denise Norton,MS ABDB,forward,67,41
Colombia,Dr. Kimberly Clark,Junior,midfielder,67,46
Montenegro,Jared Floyd,Mornar,forward,55,87
Seychelles,Heather Williams,Light Stars,defender,62,49
Hungary,Amanda Williams,Debrecen,goalkeeper,84,-63
Slovenia,James Sanchez,Bravo,goalkeeper,60,-47
India,Dave Phillips,Kerala Blasters,midfielder,61,26
Maldives,Christian Hawkins,Maziya,midfielder,52,71
Zimbabwe,Ashley Thompson,Ngezi Platinum,forward,46,27
Guatemala,Elizabeth Thompson,Antigua GFC,goalkeeper,58,-66
Eritrea,Rickey Diaz,Denden FC,defender,45,31
Oman,Tina Marshall,Al Suwaiq,midfielder,51,38
Panama,Kristen Miller,Independiente,defender,66,36
Botswana,Edgar Hale,Mochudi Centre Chiefs,forward,74,40
Kuwait,Jessica Brown,Kazma,forward,52,32
Lithuania,Kimberly Taylor,Dziugas,midfielder,31,37
Ethiopia,Jennifer Meyer,St. George,goalkeeper,62,-37
Chile,Shelby Barajas,Audax Italiano,defender,54,47
Haiti,Michael Garcia,Baltimore SC,midfielder,53,25
Vietnam,Lauren Hinton,Hong Linh Ha Tinh,defender,51,61
Mongolia,Mark Weber,Khangui,goalkeeper,57,-10
Panama,Ian Clark,Atletico Chiriqui,goalkeeper,42,-41
Netherlands,Kelly Green,Feyenoord,goalkeeper,22,-39
Nauru,Pamela Williams,Boe,forward,71,77
South Africa,Richard Horne,Mamelodi Sundowns,defender,66,20
Singapore,Terri Riley,Albirex Niigata (S),midfielder,58,43
Namibia,Sarah Reynolds,Young African,forward,79,67
Pakistan,Ryan Molina,Pakistan Army,midfielder,67,50
Zambia,Daniel Lindsey,Lumwana Radiants,defender,61,118
Seychelles,John Foley,La Passe,forward,67,101
Denmark,Catherine Blanchard,Aarhus GF,goalkeeper,48,-44
Ireland,Renee Wilson,Bohemians,goalkeeper,59,-46
Botswana,Meagan Richardson,Gaborone United,defender,32,20
Bangladesh,Stephen Walton,Brothers Union,midfielder,68,55
Panama,Kelsey Gilbert,Alianza,midfielder,64,83
Bhutan,Richard Ellis,Thimphu City,forward,65,9
Benin,Paula Collins,Requins de l'Atlantique,midfielder,46,24
Morocco,Kim Mccoy PhD,Moghreb Tetouan,goalkeeper,36,-45
Uruguay,Brandy Porter,Penarol,goalkeeper,49,-27
Azerbaijan,Christine Howard,Kapaz,forward,71,68
Namibia,Stacy Martin,Unam FC,goalkeeper,61,-68
Albania,Sydney Olson MD,Vllaznia,defender,70,32
United Kingdom,Jennifer Ortega,Chelsea,midfielder,50,76
Korea (North),Hector Martin,Hwaebul,forward,79,5
Cambodia,Allen Lawrence,Boeung Ket,midfielder,70,26
Burundi,Vickie Henderson,Bujumbura City,forward,65,41
Indonesia,Amber Vazquez,Persebaya Surabaya,forward,45,60
South Sudan,Ronald Mccullough,Al Rabita Juba,defender,65,44
Mauritius,Patricia Thompson,Flacq United,forward,53,54
Congo,Christina Carrillo,Diables Noirs,defender,78,71
Namibia,Mark Bell,Unam FC,defender,71,40
South Sudan,Jenna Russo,Malakia,goalkeeper,66,-83
Serbia,Holly Taylor,Mladost Lucani,midfielder,39,17
Russia,Anthony Beard,CSKA Moscow,forward,63,18
Ghana,Amy Franco,Medeama,defender,43,61
Montenegro,Kim Lopez,Sutjeska,defender,52,26
Grenada,Laura Bauer,Chantimelle FC,goalkeeper,69,-34
Finland,Angela Johnson,KuPS,goalkeeper,87,-16
Jamaica,Alexis Fisher,Harbour View,midfielder,58,52
Sweden,Kimberly Sharp,Hacken,defender,63,51
Monaco,Dillon Brewer,Roca Team,midfielder,57,47
Maldives,Stephanie Anderson,Maziya,forward,54,87
Malaysia,Juan Gibson,Kedah,defender,76,46
Luxembourg,Craig Waters,Racing FC,midfielder,48,71
Australia,Craig Gonzalez,Adelaide United,midfielder,58,20
Benin,Tanya Woodard,JSP FC,goalkeeper,76,-1
Belize,Dr. Melanie Ho DVM,Police United,forward,66,39
Australia,Russell Taylor,Melbourne Victory,goalkeeper,64,-52
Iran,Dawn Yates,Foolad,goalkeeper,62,-82
San Marino,Denise Ellison DVM,La Fiorita,defender,49,86
Slovakia,Michelle Allen,Zemplin Michalovce,defender,53,46
Lithuania,Kelly Marquez,Kauno Zalgiris,goalkeeper,62,-69
Philippines,Ashley Rogers,Mendiola,goalkeeper,54,-47
Dominican Republic,April Smith,Barcelona Atletico,defender,47,26
Tanzania,Joy Smith,Kagera Sugar,goalkeeper,59,-56
Iran,Thomas Salazar,Gol Gohar,goalkeeper,47,-64
Botswana,Mrs. Lindsey Shaw,Security Systems,midfielder,38,77
Czech Republic,Robert Sims,Sparta Prague,defender,51,64
Mongolia,Kimberly Wells,Athletic 220,defender,56,69
Bulgaria,Anthony Salas,Arda Kardzhali,defender,47,28
Chad,John Schultz,AS CotonTchad,midfielder,61,50
Barbados,Tyler Kent,Paradise SC,defender,66,31
Norway,Jay Short,Rosenborg,goalkeeper,73,-71
Panama,William Cruz,Alianza,midfielder,62,35
United Arab Emirates,Meghan Mcclure,Al Wahda,defender,61,57
Libya,William Bailey,Al Ahly Tripoli,forward,53,88
Nepal,Ashley Tran,Friends Club,goalkeeper,59,-46
Marshall Islands,Erica Kelly,Laura FC,midfielder,50,39
Antigua and Barbuda,Miss Pamela Miles,Liberta FC,defender,49,97
Saudi Arabia,Tracy Pearson,Al Fateh,forward,28,46
Gabon,Brandon Price,Sogea FC,defender,53,53
Liberia,Caitlin Carrillo,Monrovia Club Breweries,goalkeeper,53,-40
Poland,Raymond Kent,Wisla Krakow,midfielder,66,19
Palau,Paul Fleming,Surangel Kings,defender,70,45
Armenia,Hailey Duran,Ararat-Armenia,midfielder,68,44
Costa Rica,Krystal Greer,Deportivo Saprissa,defender,53,59
United States,Jessica Werner,Atlanta United,midfielder,50,30
Iran,Michelle Holland,Tractor,midfielder,61,34
Tonga,Levi King,Navutoka,forward,53,33
Philippines,Deanna Smith,Dynamic Herb Cebu,defender,62,49
Azerbaijan,Andrew Phillips,Neftchi Baku,goalkeeper,66,-86
Colombia,Derrick Miller,Millonarios,goalkeeper,59,-61
Saint Lucia,Julian Taylor,VSADC,forward,71,79
Grenada,Caitlin Aguilar,Hard Rock FC,midfielder,53,79
Nicaragua,Leslie Andrews,Walter Ferretti,defender,55,16
Seychelles,Steve Patton,Foresters,forward,56,49
Bhutan,James Christian,Paro FC,forward,83,51
Romania,Michael Kim,Farul Constanta,defender,66,56
Zimbabwe,Jose Cole,Harare City,midfielder,76,69
Saint Vincent and the Grenadines,Anita Smith,Layou,midfielder,49,31
Czech Republic,Melanie Johnson,Viktoria Plzen,goalkeeper,64,-22
Sri Lanka,Thomas Silva,Ratnam,defender,54,108
Singapore,Brittany Marshall,Lion City Sailors,defender,51,60
Egypt,David Flores,Zamalek,midfielder,72,61
Nicaragua,Crystal Hester,Walter Ferretti,goalkeeper,57,-34
Laos,Cesar Brown,Master 7,midfielder,53,23
Lesotho,Erin Landry,Matlama,goalkeeper,68,-85
Kyrgyzstan,Kaylee Taylor,Dordoi Bishkek,forward,60,60
Burkina Faso,Sarah Torres,RC Bobo,goalkeeper,66,-38
Serbia,Kyle Mcfarland,Mladost Lucani,midfielder,53,57
Uganda,Veronica Diaz MD,BUL,midfielder,49,15
Burkina Faso,Brooke Griffin,AS SONABEL,midfielder,64,59
United Kingdom,Jose Richards,Leicester,forward,66,44
Moldova,Ashlee Huff,Zimbru,midfielder,57,64
Brazil,Karina Wheeler DDS,Corinthians,forward,82,45
Senegal,James Wagner,Teungueth,forward,61,1
Mozambique,Rachel Gould,Vilankulo,forward,71,52
El Salvador,Victoria Pham,Chalatenango,forward,57,48
Botswana,Benjamin Jones,Security Systems,defender,62,76
Pakistan,Robert Henderson,Sui Southern Gas,forward,66,59
China,Dawn Taylor,Shandong Taishan,goalkeeper,68,-21
